Tên chi nhánh,Mã số thuế,Tên CEO,Địa chỉ chi nhánh,Tên HO,Tỉnh,business
XÍ NGHIỆP BÊ TÔNG VÀ XÂY DỰNG,3500101107-017,Trần Ngọc Tình,"Phòng 25 số 2 Thùy Vân, phường 8 - - Thành Phố Vũng Tàu - Bà Rịa - Vũng Tàu.",TỔNG CÔNG TY CP ĐẦU TƯ PHÁT TRIỂN XÂY DỰNG,Bà Rịa - Vũng Tàu,Sản xuất bê tông và các sản phẩm từ xi măng và thạch cao
CHI NHÁNH TỔNG CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN XÂY DỰNG- BAN QUẢN LÝ DỰ ÁN DIC HỒ TRÀM,3500101107-019,NGUYỄN SƠN CHUNG,"Phòng 702-Tòa nhà DIC Corp. Số 265 Lê Hồng Phong, Phường 8, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",TỔNG CÔNG TY CP ĐẦU TƯ PHÁT TRIỂN XÂY DỰNG,Bà Rịa - Vũng Tàu,Dịch vụ lưu trú ngắn ngày
XÍ NGHIỆP GẠCH NGÓI TUYNEL LONG HƯƠNG,3500101107-020,Phan Văn Bình,"Km61, Quốc lộ 51, phường Kim Dinh - - Thành phố Bà Rịa - Bà Rịa - Vũng Tàu.",TỔNG CÔNG TY CP ĐẦU TƯ PHÁT TRIỂN XÂY DỰNG,Bà Rịa - Vũng Tàu,Sản xuất vật liệu xây dựng từ đất sét
CHI NHÁNH TỔNG CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN XÂY DỰNG - KHÁCH SẠN DIC STAR VĨNH PHÚC,3500101107-027,HOÀNG HỒNG HÀ,"Khu đô thị mới Nam Vĩnh Yên, Phường Khai Quang, Thành phố Vĩnh Yên, Tỉnh Vĩnh Phúc, Việt Nam",TỔNG CÔNG TY CP ĐẦU TƯ PHÁT TRIỂN XÂY DỰNG,Vĩnh Phúc,
VĂN PHÒNG ĐẠI DIỆN TỔNG CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN XÂY DỰNG TẠI QUẢNG BÌNH,3500101107-030,ĐINH VIẾT LƯỢNG,"Số 06 đường Lý Thánh Tông, Xã Lộc Ninh, Thành phố Đồng Hới, Tỉnh Quảng Bình, Việt Nam",TỔNG CÔNG TY CP ĐẦU TƯ PHÁT TRIỂN XÂY DỰNG,Quảng Bình,
CHI NHÁNH TỔNG CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN XÂY DỰNG - BAN CHỈ ĐẠO DỰ ÁN ĐƯỜNG CAO TỐC VIỆT NAM,3500101107-031,CHU VĂN THANH,"Số 15 Thi Sách, Phường Thắng Tam, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",TỔNG CÔNG TY CP ĐẦU TƯ PHÁT TRIỂN XÂY DỰNG,Bà Rịa - Vũng Tàu,
CHI NHÁNH CÔNG TY CỔ PHẦN DẦU KHÍ THÁI DƯƠNG TẠI HÀ NỘI,2400345718-001,Võ Anh Thái,"Số 47 đường Ngọc Hồi, Phường Hoàng Liệt, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam",CÔNG TY CP DẦU KHÍ THÁI DƯƠNG,Hà Nội,Bán lẻ nhiên liệu động cơ trong các cửa hàng chuyên doanh
CÔNG TY CỔ PHẦN HANACANS - CHI NHÁNH QUẢNG NAM,2300372796-001,NGUYỄN TRỊNH TUẤN,"Lô số 15, KCN Điện Nam - Điện Ngọc, Phường Điện Ngọc, Thị xã Điện Bàn, Tỉnh Quảng Nam, Việt Nam",CÔNG TY CP HANACANS,Quảng Nam,
CÔNG TY CỔ PHẦN HANACANS - CHI NHÁNH BÀ RỊA VŨNG TÀU,2300372796-002,ISHIBASHI SHINYA,"Lô số VIII-5 và VIII-6 Khu công nghiệp Mỹ Xuân B1 Tiến Hùng, Phường Mỹ Xuân, Thị xã Phú Mỹ, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",CÔNG TY CP HANACANS,Bà Rịa - Vũng Tàu,
"CHI NHÁNH CÔNG TY CỔ PHẦN DABACO VIỆT NAM (TÊN CŨ: CHI NHÁNH CÔNG TY CỔ PHẦN NÔNG SẢN BẮC NINH) ""CHUYỂN ĐỔI TỪ ĐN VỊ KINH TẾ TRỰC THUỘC DNNN, CHI NHÁNH CÔNG TY NÔNG SẢN BẮC NINH, GCN 311097, CẤP NGÀY 25/11/1998 TẠI HÀ NỘI""",2300105790-006,NGUYỄN THỊ NHÀN,"Phòng 102, nhà B20, khu tập thể Kim Liên, Phường Kim Liên, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",CÔNG TY CP TẬP ĐOÀN DABACO VIỆT NAM,Hà Nội,"Sản xuất thức ăn gia súc, gia cầm và thuỷ sản"
NHÀ MÁY CHẾ BIẾN THỨC ĂN CHĂN NUÔI KINH BẮC,2300105790-014,NGUYỄN VĂN MẠNH,"Khu công nghiệp Khắc Niệm, Phường Khắc Niệm, Thành phố Bắc Ninh, Tỉnh Bắc Ninh, Việt Nam",CÔNG TY CP TẬP ĐOÀN DABACO VIỆT NAM,Bắc Ninh,
CỬA HÀNG XĂNG DẦU,2300105790-015,NGUYỄN VĂN THỊNH,"Quốc lộ 38, Xã Lạc Vệ, Huyện Tiên Du, Tỉnh Bắc Ninh, Việt Nam",CÔNG TY CP TẬP ĐOÀN DABACO VIỆT NAM,Bắc Ninh,
NHÀ MÁY CHẾ BIẾN THỨC ĂN CHĂN NUÔI DABACO HOÀN SƠN,2300105790-019,LƯƠNG THỊ HÀ,"Khu công nghiệp Đại Đồng - Hoàn Sơn, Xã Hoàn Sơn, Huyện Tiên Du, Tỉnh Bắc Ninh, Việt Nam",CÔNG TY CP TẬP ĐOÀN DABACO VIỆT NAM,Bắc Ninh,
CHI NHÁNH SƠN LA - CÔNG TY CỔ PHẦN TẬP ĐOÀN TONMAT,2300238060-010,TRẦN VĂN SƠN,"Bản Cang, Phường Chiềng Sinh, Thành phố Sơn La, Tỉnh Sơn La, Việt Nam",CÔNG TY CP TẬP ĐOÀN TONMAT,Sơn La,
CHI NHÁNH TONMAT BẮC NINH - CÔNG TY CỔ PHẦN TẬP ĐOÀN TONMAT,2300238060-012,TRẦN VĂN SƠN,"Khu công nghiệp Tiên Sơn, Xã Hoàn Sơn, Huyện Tiên Du, Tỉnh Bắc Ninh, Việt Nam",CÔNG TY CP TẬP ĐOÀN TONMAT,Bắc Ninh,
CHI NHÁNH TONMAT PANEL - CÔNG TY CỔ PHẦN TẬP ĐOÀN TONMAT,2300238060-013,TRẦN VĂN SƠN,"Khu công nghiệp Tiên Sơn, Xã Hoàn Sơn, Huyện Tiên Du, Tỉnh Bắc Ninh, Việt Nam",CÔNG TY CP TẬP ĐOÀN TONMAT,Bắc Ninh,
CHI NHÁNH TONMAT CÀ MAU - CÔNG TY CỔ PHẦN TẬP ĐOÀN TONMAT,2300238060-014,TRẦN VĂN SƠN,"306 Đường số 6, Khu Dân cư Minh Thắng, Phường 1, Thành phố Cà Mau, Tỉnh Cà Mau, Việt Nam",CÔNG TY CP TẬP ĐOÀN TONMAT,Cà Mau,
CHI NHÁNH CÔNG TY TNHH CHẾ BIẾN DỪA LƯƠNG QUỚI - NHÀ MÁY THÀNH VINH III,1300230895-004,CÙ VĂN THÀNH,"Lô A10B - Khu công nghiệp An Hiệp, ấp Thuận Điền, Xã An Hiệp, Huyện Châu Thành, Tỉnh Bến Tre, Việt Nam",CÔNG TY TNHH CHẾ BIẾN DỪA LƯƠNG QUỚI,Bến Tre,
XÍ NGHIỆP KHAI THÁC ĐÁ TẠI BÌNH ĐỊNH - CHI NHÁNH CÔNG TY CỔ PHẦN PHÚ TÀI,4100259236-017,NGUYỄN THÀNH NHÂN,"Thôn Chánh Nhơn, Xã Cát Nhơn, Huyện Phù Cát, Tỉnh Bình Định, Việt Nam",CÔNG TY CP PHÚ TÀI,Bình Định,
CHI NHÁNH CÔNG TY CỔ PHẦN PHÚ TÀI - CỬA HÀNG GIỚI THIỆU VÀ TIÊU THỤ SẢN PHẨM ĐÁ GRANITE,4100259236-019,NGUYỄN NGỌC KHA,"24-26 Chế Lan Viên, Phường Tây Thạnh, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam",CÔNG TY CP PHÚ TÀI,TP Hồ Chí Minh,Hoạt động dịch vụ hỗ trợ kinh doanh khác chưa được phân vào đâu
XÍ NGHIỆP KHAI THÁC ĐÁ TẠI KHÁNH HÒA - CHI NHÁNH CÔNG TY CỔ PHẦN PHÚ TÀI,4100259236-023,VÕ VĂN TUYÊN,"Thôn Cây Sung, Xã Diên Tân, Huyện Diên Khánh, Tỉnh Khánh Hòa, Việt Nam",CÔNG TY CP PHÚ TÀI,Khánh Hòa,
XÍ NGHIỆP KHAI THÁC ĐÁ TẠI ĐẮK NÔNG - CHI NHÁNH CÔNG TY CỔ PHẦN PHÚ TÀI,4100259236-024,MAI VĂN LỰC,"Thôn Rừng Lạnh, Xã Đăk Hoà, Huyện Đắk Song, Tỉnh Đắk Nông, Việt Nam",CÔNG TY CP PHÚ TÀI,Đắk Nông,
CHI NHÁNH CÔNG TY CỔ PHẦN PHÚ TÀI - NHÀ MÁY CHẾ BIẾN ĐÁ LONG MỸ,4100259236-025,TRẦN ĐÌNH MỘNG LINH,"Lô C1-3 Khu Công nghiệp Long Mỹ, Xã Phước Mỹ, Thành phố Quy Nhơn, Tỉnh Bình Định, Việt Nam",CÔNG TY CP PHÚ TÀI,Bình Định,
XÍ NGHIỆP KHAI THÁC ĐÁ VẠN NINH - CHI NHÁNH CÔNG TY CỔ PHẦN PHÚ TÀI,4100259236-026,TRƯƠNG VĂN TRÌNH,"Thôn Tân Dân, Xã Vạn Thắng, Huyện Vạn Ninh, Tỉnh Khánh Hòa, Việt Nam",CÔNG TY CP PHÚ TÀI,Khánh Hòa,
KHO CHI NHÁNH CTY PHÚ TÀI,4100259236-027,Lê Vỹ,KCN Tam Phước - Phường Tam Phước - Thành phố Biên Hoà - Đồng Nai.,CÔNG TY CP PHÚ TÀI,Đồng Nai,
CHI NHÁNH CÔNG TY CỔ PHẦN PHỤ KIỆN VÀ NHÀ THÉP NHẤT,3700778489-002,Trần Lê Quốc Thái,"146 đường Phan Xích Long, Phường 07, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",BMB STEEL,TP Hồ Chí Minh,
VĂN PHÒNG ĐẠI DIỆN - CÔNG TY CỔ PHẦN PHỤ KIỆN VÀ NHÀ THÉP NHẤT.,3700778489-003,TRẦN LÊ QUỐC THÁI,"số 37 đường Phan Xích Long, Phường 02, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",BMB STEEL,TP Hồ Chí Minh,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN BÊ TÔNG LY TÂM THỦ ĐỨC 1.,3700912751-001,LÊ VĂN LUẬN,"Số 43, đường số 10, Khu đô thị Sala, Phường An Lợi Đông, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",CÔNG TY CP BÊ TÔNG LY TÂM THỦ ĐỨC 1,TP Hồ Chí Minh,Sản xuất bê tông và các sản phẩm từ xi măng và thạch cao
CHI NHÁNH 4 CÔNG TY CỔ PHẦN ĐẦU TƯ THÁI BÌNH,3700148737-004,LÊ HỒNG THỦY,"Km 85+300 đường Quốc lộ 10, Xã Tân Bình, Thành phố Thái Bình, Tỉnh Thái Bình, Việt Nam",CÔNG TY CP ĐẦU TƯ THÁI BÌNH,Thái Bình,
CHI NHÁNH 6 CÔNG TY CỔ PHẦN ĐẦU TƯ THÁI BÌNH,3700148737-006,NGUYỄN THỊ VUI,"Số 103 A, Đường Bùi Hữu Nghĩa, Phường Tân Vạn, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam",CÔNG TY CP ĐẦU TƯ THÁI BÌNH,Đồng Nai,
ĐỊA ĐIỂM KINH DOANH SỐ 3 - CÔNG TY CỔ PHẦN ĐẦU TƯ THÁI BÌNH,3700148737-007,Nguyễn Đức Thuấn,"Lô H1, đường số 2, Khu công nghiệp Thạnh Lộc, - Xã Thạnh Lộc - Huyện Châu Thành - Kiên Giang.",CÔNG TY CP ĐẦU TƯ THÁI BÌNH,Kiên Giang,
CHI NHÁNH 7 CÔNG TY CỔ PHẦN ĐẦU TƯ THÁI BÌNH,3700148737-008,PHẠM TRỌNG HIỀN,"Thửa đất số: 2321, tờ bản đồ số: 9, Ấp Chòm Chuối, Xã Phước Hưng, Huyện Trà Cú, Tỉnh Trà Vinh, Việt Nam",CÔNG TY CP ĐẦU TƯ THÁI BÌNH,Trà Vinh,
CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH CÔNG TY CỔ PHẦN NHỰA BẢO VÂN (TỈNH BÌNH DƯƠNG),3700257662-002,NGUYỄN THỊ HẢI YẾN,"485 Đường Hà Nội, Phường Linh Trung, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",CÔNG TY CP NHỰA BẢO VÂN,TP Hồ Chí Minh,Hoạt động dịch vụ hỗ trợ kinh doanh khác chưa được phân vào đâu
CHI NHÁNH XỬ LÝ CHẤT THẢI-CÔNG TY CỔ PHẦN NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,3700145694-008,PHẠM THANH HÙNG,"thửa đất số 1093 tờ bản đồ số 29 khu phố 1B, Phường Chánh Phú Hòa, Thị xã Bến Cát, Tỉnh Bình Dương, Việt Nam",CÔNG TY CP NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,Bình Dương,
CHI NHÁNH NƯỚC THẢI TÂN UYÊN-CÔNG TY CỔ PHẦN NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,3700145694-009,CỔ KIM TUYẾN,"Thửa đất số 1512 tờ bản đồ số 9, Đường Thái Hòa 80, Tổ 7, khu Phố An Thành, Phường Thái Hòa, Thị xã Tân Uyên, Tỉnh Bình Dương, Việt Nam",CÔNG TY CP NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,Bình Dương,
CHI NHÁNH XÂY LẮP-CÔNG NGHỆ CƠ ĐIỆN BIWASE-CÔNG TY CỔ PHẦN NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,3700145694-011,TRƯƠNG QUỐC KHIÊM,"Số 303, đường số 85, khu phố Tân Phú, Phường Tân Hiệp, Thị xã Tân Uyên, Tỉnh Bình Dương, Việt Nam",CÔNG TY CP NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,Bình Dương,
CHI NHÁNH TƯ VẤN CẤP THOÁT NƯỚC-CÔNG TY CỔ PHẦN NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,3700145694-012,BÙI TRƯỜNG SƠN,"Số 11 Ngô Văn Trị, Phường Phú Lợi, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam",CÔNG TY CP NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,Bình Dương,
CHI NHÁNH CẤP NƯỚC THỦ DẦU MỘT-CÔNG TY CỔ PHẦN NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,3700145694-013,ĐỖ THÀNH CÔNG,"Số 11- Ngô Văn Trị, Phường Phú Lợi, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam",CÔNG TY CP NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,Bình Dương,
CHI NHÁNH NƯỚC THẢI THỦ DẦU MỘT-CÔNG TY CỔ PHẦN NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,3700145694-015,NGUYỄN THANH PHONG,"số 138 đường Lý Tự Trọng, Khu phố 6, Phường Phú Thọ, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam",CÔNG TY CP NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,Bình Dương,
CHI NHÁNH CẤP NƯỚC KHU LIÊN HỢP-CÔNG TY CỔ PHẦN NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,3700145694-016,PHẠM VĂN CHIẾN,"Số 303, đường số 85, khu phố Tân Phú, Phường Tân Hiệp, Thị xã Tân Uyên, Tỉnh Bình Dương, Việt Nam",CÔNG TY CP NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,Bình Dương,
CHI NHÁNH NƯỚC THẢI THUẬN AN-CÔNG TY CỔ PHẦN NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,3700145694-017,Trương Thị Thu Thảo,"Số 9, Đại lộ Bình Dương, Phường Vĩnh Phú, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam",CÔNG TY CP NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,Bình Dương,
CHI NHÁNH CẤP NƯỚC THUẬN AN-CÔNG TY CỔ PHẦN NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,3700145694-018,ĐỖ HỮU HẬU,"số 09 Đại lộ Bình Dương, Phường Vĩnh Phú, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam",CÔNG TY CP NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,Bình Dương,
CHI NHÁNH CẤP NƯỚC DĨ AN-CÔNG TY CỔ PHẦN NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,3700145694-019,MAI SONG HÀO,"số 369B/1 Khu phố 1A, Phường An Phú, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam",CÔNG TY CP NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,Bình Dương,
CHI NHÁNH CẤP NƯỚC PHƯỚC VĨNH-CÔNG TY CỔ PHẦN NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,3700145694-020,TRẦN THANH PHONG,"số 142 Độc Lập, Kp2, Thị Trấn Phước Vĩnh, Huyện Phú Giáo, Tỉnh Bình Dương, Việt Nam",CÔNG TY CP NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,Bình Dương,
CHI NHÁNH NƯỚC THẢI DĨ AN-CÔNG TY CỔ PHẦN NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,3700145694-021,NGUYỄN TẤN VINH,"số 39 Đường số 10, khu phố Đông An, Phường Tân Đông Hiệp, Thành phố Dĩ An, Tỉnh Bình Dương, Việt Nam",CÔNG TY CP NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,Bình Dương,
CHI NHÁNH CẤP NƯỚC BÀU BÀNG-CÔNG TY CỔ PHẦN NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,3700145694-022,NGUYỄN HUY CƯỜNG,"KT5A đường N25-KCN Bàu Bàng, khu phố Bàu Bàng, Thị Trấn Lai Uyên, Huyện Bàu Bàng, Tỉnh Bình Dương, Việt Nam",CÔNG TY CP NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,Bình Dương,
CHI NHÁNH CẤP NƯỚC TÂN UYÊN - CÔNG TY CỔ PHẦN NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,3700145694-023,NGUYỄN NGỌC TÚ,"Lô HT5, đường D3, Khu Công nghiệp Nam Tân Uyên, Phường Khánh Bình, Thị xã Tân Uyên, Tỉnh Bình Dương, Việt Nam",CÔNG TY CP NƯỚC - MÔI TRƯỜNG BÌNH DƯƠNG,Bình Dương,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN PHÁT TRIỂN HẠ TẦNG KỸ THUẬT (TỈNH BÌNH DƯƠNG),3700805566-001,Lương Ngọc Tiến,"Cao ốc Tuổi trẻ, 60A Hoàng Văn Thụ, Phường 09, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",CÔNG TY CP PHÁT TRIỂN HẠ TẦNG KỸ THUẬT,TP Hồ Chí Minh,
CHI NHÁNH CTY CỔ PHẦN THÉP NAM KIM CỬA HÀNG NAM KIM BÌNH TÂN,3700477019-001,Chu Thanh Hải,KE A2/7 Tân Kiên Bình Lợi P.Tân Tạo A - - Quận Bình Tân - TP Hồ Chí Minh.,CÔNG TY CP THÉP NAM KIM,TP Hồ Chí Minh,"Bán lẻ hình thức khác (trừ bán lẻ tại cửa hàng, lưu động hoặc tại chợ)"
VĂN PHÒNG ĐẠI DIỆN TẠI THÀNH PHỐ HỒ CHÍ MINH CÔNG TY CỔ PHẦN THÉP NAM KIM,3700477019-005,VÕ HOÀNG VŨ,"Phòng 802, Tầng 8, Tòa nhà HaDo Airport Building, 02 Hồng Hà, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",CÔNG TY CP THÉP NAM KIM,TP Hồ Chí Minh,
CHI NHÁNH CÔNG TY CỔ PHẦN THỰC PHẨM Á CHÂU,3700150020-001,NGUYỄN NGỌC THÀNH,"Khu phố Đồng An, Phường Bình Hòa, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam",CÔNG TY CP THỰC PHẨM Á CHÂU,Bình Dương,
VPĐD CÔNG TY CỔ PHẦN THỰC PHẨM Á CHÂU,3700150020-002,NGUYỄN MẠNH CƯỜNG,"39/6 Trần Nhật Duật, Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",CÔNG TY CP THỰC PHẨM Á CHÂU,TP Hồ Chí Minh,"Hoạt động hành chính, hỗ trợ văn phòng và các hoạt động hỗ trợ kinh doanh khác"
VĂN PHÒNG ĐẠI DIỆN SỐ 2 TẠI THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY CỔ PHẦN THỰC PHẨM Á CHÂU,3700150020-008,NGUYỄN MẠNH CƯỜNG,"Tầng 8, Tòa nhà Saigon Trade Center - 37 Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",CÔNG TY CP THỰC PHẨM Á CHÂU,TP Hồ Chí Minh,
VĂN PHÒNG ĐẠI DIỆN SỐ 1 TẠI HÀ NỘI - CÔNG TY CỔ PHẦN THỰC PHẨM Á CHÂU,3700150020-009,NGUYỄN MẠNH CƯỜNG,"Tầng 11, Tòa nhà Zen Tower, số 12 Khuất Duy Tiến, Phường Thanh Xuân Trung, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",CÔNG TY CP THỰC PHẨM Á CHÂU,Hà Nội,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN TÔN ĐÔNG Á TẠI BÌNH ĐỊNH,3700255880-006,NGUYỄN TRẦN TRỌNG NGUYÊN,"Tầng M, Lô 52-53, đường Lê Đức Thọ, Phường Trần Hưng Đạo, Thành phố Quy Nhơn, Tỉnh Bình Định, Việt Nam",CÔNG TY CP TÔN ĐÔNG Á,Bình Định,
NHÀ THẦU ROWLAND.PTY LTD,3700229344-002,,Bình hoà - - Tỉnh Bình Dương - Bình Dương.,CÔNG TY TNHH FRIESLANDCAMPINA VIỆT NAM,Bình Dương,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH FRIESLANDCAMPINA VIỆT NAM TẠI CẦN THƠ,3700229344-003,NGUYỄN BẢO QUỐC,"Lầu 3, tòa nhà STS Tower, số 11B Đại lộ Hòa Bình, Phường Tân An, Quận Ninh Kiều, Thành phố Cần Thơ, Việt Nam",CÔNG TY TNHH FRIESLANDCAMPINA VIỆT NAM,Cần Thơ,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH FRIESLANDCAMPINA VIỆT NAM TẠI THÀNH PHỐ ĐÀ NẴNG,3700229344-004,NGUYỄN VĂN HẬU,"Lô 39, Đường số 2, Khu công nghiệp Đà Nẵng, Phường An Hải Bắc, Quận Sơn Trà, Thành phố Đà Nẵng, Việt Nam",CÔNG TY TNHH FRIESLANDCAMPINA VIỆT NAM,Đà Nẵng,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH FRIESLANDCAMPINA VIỆT NAM TẠI THÀNH PHỐ HỒ CHÍ MINH,3700229344-005,LÊ VĂN DÙM,"Tầng 23 Tòa Nhà Sonatus, 15 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",CÔNG TY TNHH FRIESLANDCAMPINA VIỆT NAM,TP Hồ Chí Minh,
CHI NHÁNH CÔNG TY TNHH FRIESLANDCAMPINA VIỆT NAM TẠI HÀ NAM,3700229344-006,RICHARD ALLAN KIGER,"Khu công nghiệp Châu Sơn, Phường Lê Hồng Phong, Thành phố Phủ Lý, Tỉnh Hà Nam, Việt Nam",CÔNG TY TNHH FRIESLANDCAMPINA VIỆT NAM,Hà Nam,
CHI NHÁNH CÔNG TY TNHH KIMBERLY-CLARK VIỆT NAM,0100114522-001,NITISH RAI GUPTA,"Tầng 18 Tòa nhà E.Town Central, số 11 Đoàn Văn Bơ, Phường 13, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",CÔNG TY TNHH KIMBERLY CLARK VIỆT NAM,TP Hồ Chí Minh,Sản xuất khác chưa được phân vào đâu
CHI NHÁNH CÔNG TY TNHH Ô TÔ MITSUBISHI VIỆT NAM TẠI THÀNH PHỐ HỒ CHÍ MINH,3700229030-002,RYUJIRO KOBASHI,"Tầng 6, 561A Điện Biên Phủ, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",CÔNG TY TNHH LIÊN DOANH SẢN XUẤT ÔTÔ NGÔI SAO,TP Hồ Chí Minh,
VĂN PHÒNG ĐẠI DIỆN KIÊM KHO TRUNG CHUYỂN HÀNG HÓA CÔNG TY TNHH UNI-PRESIDENT VIỆT NAM,3700306630-008,LIOU HAI HUA,"Lô B11 Cụm Công nghiệp vừa và nhỏ Đắc Lộc, Xã Vĩnh Phương, Thành phố Nha Trang, Tỉnh Khánh Hòa, Việt Nam",CÔNG TY TNHH UNI-PRESIDENT VIỆT NAM,Khánh Hòa,
CHI NHÁNH CÔNG TY TNHH UNI-PRESIDENT VIỆT NAM TẠI HƯNG YÊN,3700306630-009,CHEN I SHEN,"Đường D2, Khu công nghiệp Yên Mỹ II, Xã Trung Hưng, Huyện Yên Mỹ, Tỉnh Hưng Yên, Việt Nam",CÔNG TY TNHH UNI-PRESIDENT VIỆT NAM,Hưng Yên,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH URC VIỆT NAM,3700549827-001,JEAN PIERRE SANCHEZ GAMBOA,"Tầng 9, Vietjet Plaza, 60A Trường Sơn, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",CÔNG TY TNHH URC VIỆT NAM,TP Hồ Chí Minh,
CHI NHÁNH TỔNG CÔNG TY ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHIỆP - CTCP - XÍ NGHIỆP XÂY DỰNG GIAO THÔNG BECAMEX,3700145020-001,NGUYỄN VĂN HIỆP,"Thửa đất 279, 611, tờ bản đồ số 3, 14a, khu biệt thự Dragon Hill, Đường Lê Lai, Phường Hoà Phú, Thành phố Thủ Dầu Một, Tỉnh Bình Dương, Việt Nam",TỔNG CÔNG TY ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHIỆP - CTCP,Bình Dương,
CHI NHÁNH TỔNG CÔNG TY ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHIỆP - CTCP - XÍ NGHIỆP PHÁT TRIỂN CÔNG NGHIỆP & ĐÔ THỊ THỚI HÒA,3700145020-002,TRẦN THỊ NGỌC THỦY,"thửa đất số 26,63, tờ bản đồ số 47, đường XA2, khu phố 5, Phường Thới Hòa, Thị xã Bến Cát, Tỉnh Bình Dương, Việt Nam",TỔNG CÔNG TY ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHIỆP - CTCP,Bình Dương,
