Nha_thuoc,Dia_chi,dien_thoai
NT Asia Pharco,"Số 21, đường TL04, Thạnh Lộc, 12, Hồ Chí Minh",
Nhà thuốc Nguyên Thảo,"Số Nhà 152, Tân Hương, Tân Quý, Tân Phú, Hồ Chí Minh",0914183965
Công ty TNHH DP Tiến Tài,"Dốc Lã, Dốc Lã, Bảo Khê, Hưng Yên, Hưng Yên",0981479282
Quầy thuốc Tây Hoàng Minh,"số 337, Long Trạch, Cần Đước, Long An",0948842477
NT An Tâm - NDD: Phạm Thị Huệ,"6, Tô Hiến Thành, Mỹ Xá, Nam Định, Nam Định",0911406459
Thuốc tân dược Trường Hòa,"Số 831, Trần Huy Liệu, Mỹ Xá, Nam Định, Nam Định",0916891366
Nhà thuốc Phương Phong,"81, Nguyễn Duy Trinh, Hưng Dũng, Vinh, Nghệ An",0918958868
Nhà Thuốc Tuấn Oanh,"Số 53, Khối 9, Bạch Liêu, Trường Thi, Vinh, Nghệ An",0942772678
QT tư nhân - DS Đồng Đạo Thắng,"Số 1, Dục Tú, Dục Tú, Đông Anh, Ngoại thành Hà Nội",0399161574
NT Phúc Khánh 6,"Kiot 6 -T2, CC Thăng Long Victory, An Khánh, Hoài Đức, Ngoại thành Hà Nội",0984656555
"Quầy thuốc GPP Bình An , DS Nguyễn Thị Loan","Số 350, Minh Khai, La Phù, Hoài Đức, Ngoại thành Hà Nội",0948144741
"Quầy Thuốc Nguyễn Thị Thủy , Ds Nguyễn Thị Thủy","Số 672, Xóm 3 Chợ chiều, , Ngãi Cầu, An Khánh, Hoài Đức, Ngoại thành Hà Nội",0972495499
HT Minh Phương - DS: Tống Thị Minh Phương,"Phố 2, Yên Ninh, Yên Khánh, Ninh Bình",0326609893
QT tân dược Hương Tiến,"Phố 7, Yên Ninh, Yên Khánh, Ninh Bình",0858724339
Nhà thuốc Nghĩa Tâm,"Xóm Hoàng Kim, Yên Phong, Yên Mô, Ninh Bình",0983366123
NT Thăng Long,"Số nhà 612, Châu Phong, Tân Dân, Việt Trì, Phú Thọ",0972130999
QT Thiện Minh,"chợ Thanh Quýt, Điện Thắng Bắc, Điện Bàn, Quảng Nam",0706057037
Quầy thuốc 310,"Chợ Kiểm Lâm, Duy Hòa, Duy Xuyên, Quảng Nam",0918353980
Quầy thuốc An Nguyên,"Thôn Long Bàn, Tịnh An, Quảng Ngãi, Quảng Ngãi",0908764783
Quầy Thuốc Thanh Tâm,"Chợ Gò, Tịnh An, Quảng Ngãi, Quảng Ngãi",0389261881
NHÀ THUỐC NGUYỄN THẢO,"Chợ Nội, Chợ Nội, Cộng Hòa, Hưng Hà, Thái Bình",0868215982
Quầy Thuốc Minh Đức - Ds: Nguyễn Thị Mai,"Thôn Hùng Lộc, Quỳnh Mỹ, Quỳnh Phụ, Thái Bình",0965881598
Nhà Thuốc Trần Quốc Toản - DS: Trần Quốc Toản,"Tổ 2A, Phố Cò, Sông Công, Thái Nguyên",0916442558
NT Châu Nguyệt - NDD: Chị Nguyệt,"12 Thiện Chí , Vĩnh Bình, Gò Công Tây, Tiền Giang",0902563002
QT Số 229 - DS Nguyễn Thị Nghiêm,"Tân Lập 1, Ngọc Thiện, Tân Yên, Bắc Giang",0386541567
Nhà thuốc Đăng Thành,"259 , Bồ Đề, Bồ Đề, Long Biên, Hà Nội",0915099973
Nhà Thuốc Ngọc Anh,"109 Phố Lâm Hạ, Bồ Đề, Long Biên, Hà Nội",0916616388
Nhà thuốc Phương Liên - CNT: DS Ngân,"Số 146 ái Mộ, , Bồ Đề, Long Biên, Hà Nội",0977973128
Nhà thuốc Phúc Thủy - DS Hồ Thị Bích Liên,"Số Nhà 1, Ngõ 65, Nguyễn Đổng Chi, Cầu Diễn, Nam Từ Liêm, Hà Nội",0965728984
CÔNG TY CỔ PHẦN PHARMAOTC,"( Thực tế giao hàng tại Tầng 4, Tòa 21T1, Hapulico, Số 83 Vũ Trọng Phụng, Phường Thanh Xuân Trung, Quận Thanh Xuân, Tp.Hà Nội )Tầng 5 số 100 , Vũ Trọng Phụng, Thanh Xuân Trung, Thanh Xuân, Hà Nội",0916162696
Cty TNHH PKĐK JIO HEALTH,"Số 98, Điện Biên Phủ, Đa Kao, 1, Hồ Chí Minh",0949701021
Nhà thuốc Việt Số 1,"Số 596, Nguyễn Chí Thanh, 07, 11, Hồ Chí Minh",0398883456
NT Dũng Đoàn - DS: Nguyễn Thị Đoàn,"115 , tổ 2B, Hai Bà Trưng, Thọ Sơn, Việt Trì, Phú Thọ","0355990909, 0355122389"
Cơ Sở Bán Lẻ Thuốc Thanh Phẩm Đông Y Thanh Trí - NDD: Hứa Kim Liên,"Số 77, Lê Minh Ngươn, Mỹ Long, Long Xuyên, An Giang",0939227468
NT Phương Khanh,"Số 46, Ngô Gia Tự, Mỹ Long, Long Xuyên, An Giang",
Quầy Thuốc Gia Hân,"Ấp 1, Hòa Hưng, Xuyên Mộc, Bà Rịa - Vũng Tàu",0934141541
Quầy Thuốc An Tâm,"Số Nhà 345, Ymon, Tân Lợi, Buôn Ma Thuột, Đắk Lắk",0985564779
NT Bảo Tâm An - NDD : Vũ Thị Trang,"1257 Phạm Văn Thuận , , Thống Nhất, Biên Hòa, Đồng Nai",0333066111
NT Ngọc Ngân - DS : Tạ Thị Kim Ngân,"109/13 Phan Chu Trinh, KP1 , Quang Vinh, Biên Hòa, Đồng Nai",0903728327
QT Huy Vy,"C1 Xa Lộ Hà Nội,, Long Bình, Biên Hòa, Đồng Nai",0979502539
NT 832 - DS Đỗ Thị Quỳnh Sang,"832, Minh Khai, Minh Khai, Hai Bà Trưng, Hà Nội",
NT Nam Hằng - Dược sĩ Lê Thu Hằng,"số 96C, Hoàng Như Tiếp, Bồ Đề, Long Biên, Hà Nội",0966429869
NT Quế Tâm,"số 80 ngõ 77, Ngọc Trục, Đại Mỗ, Nam Từ Liêm, Hà Nội",0989890087
Quầy thuốc Linh Chi - DSTH Lê Thị Thắm,"Thôn Thon Am, Liên Ninh, Thanh Trì, Hà Nội",0396231879
Nhà thuốc tư nhân Chuyên Bán Lẻ Thuốc Bán Lẻ Thuốc Thành Phẩm - DS Nguyễn Đức Hạnh,"Số 210 Bùi Xương Trạch, , Khương Đình, Thanh Xuân, Hà Nội",0973289604
Nhà thuốc - thiết bị y tế Lê Huyền,"Số 448 , đường Hải thượng Lãn Ông, Tân Giang, Hà Tĩnh, Hà Tĩnh",0888903776
Nhà thuốc Hoài Trung,"Số 95 , khối 12, Nguyễn Chí Thanh, Tân Giang, Hà Tĩnh, Hà Tĩnh",0906260305
Quầy số 13 (NT Gia Lộc) - Người đại diện Nguyễn Thị Hoa,"Số 93 , Lê Thanh Nghị, Gia Lộc, Gia Lộc, Hải Dương",0934420022
Nhà thuốc Số 8 -,"Số 8, Quang Trung, Quang Trung, Hải Dương, Hải Dương",02203852044
Nhà thuốc Thu Hà - DS Phạm Thị Thu Hà,"482, Phủ Thượng Đoạn, Đông Hải 1, Hải An, Hải Phòng","0377556174, 02253828844"
Nhà thuốc Thanh Hải - Phụ Trách : Phạm Thị Trang,"Số nhà 29, Hoàng Dư Khương, 12, 10, Hồ Chí Minh",0903873245
Công ty TNHH dược phẩm Bảo Tâm An,"Số 65 , Thân Văn Nhiếp, An Phú, 2, Hồ Chí Minh",0898929601
Địa điểm kinh doanh NT Minh Châu 8,"Số 649, Nguyễn Xiển, Long Thạnh Mỹ, 9, Hồ Chí Minh",0963017777
Nhà thuốc tây Thăng Long,"Số 377, KP1, Lê Văn Việt, Tăng Nhơn Phú A, 9, Hồ Chí Minh","0902533578, 0933202528"
NT Phuớc Thiện 2,"Số 47, Lê Văn Việt, Hiệp Phú, 9, Hồ Chí Minh",0905406467
Nhà thuốc Thành Đạt,"Số 3F, Đường số 6, Linh Xuân, Thủ Đức, Hồ Chí Minh",0974711557
Quầy thuốc tân dược,"Đối diện BVĐK Khoái Châu, Nguyễn Khoái, Khoái Châu, Khoái Châu, Hưng Yên",0946901412
Quầy thuốc số 8,"Trung Hòa, Yên Mỹ, Hưng Yên",0982245406
Nhà Thuốc Thanh Phúc - Chủ NT: Phạm Thanh Phúc,"Xóm 4, Bình Hòa, Giao Thủy, Nam Định",0382132020
NT Tuấn Vân,"Xóm 5, Hồng Thuận, Giao Thủy, Nam Định",0353833335
Công Ty CPDP Nam Hà - Quầy thuốc Dương Tươi - NDD: Dương Thị Tươi,"Số Nhà 137 , Hữu Nghị, Cổ Lễ, Trực Ninh, Nam Định",0387114861
Quầy Thuốc Cường Nhung - Chủ NT Trần Thị Hồng Nhung,"Số Nhà 63, Thượng Đồng, Hiển Khánh, Vụ Bản, Nam Định",0367768125
Quầy Thuốc Quỳnh Mai - Chủ NT : Quỳnh Mai,"Xóm 11, Thọ Nghiệp, Xuân Trường, Nam Định",0971171091
Nhà thuốc Hải Lý,"11, Đường Tuệ Tĩnh, Hà Huy Tập, Vinh, Nghệ An",0989343382
Nhà Thuốc Linh Khang,"Số nhà 54, An Dương Vương, Trường Thi, Vinh, Nghệ An",0349629608
Quầy thuốc Thanh Huy,"58, Nguyễn Tất Thành, Cẩm Hà, Hội An, Quảng Nam",0935505452
Quầy thuốc Bích Hạnh,"thôn Hiệp Phổ Tây, Hành Trung, Nghĩa Hành, Quảng Ngãi",0978801593
quầy thuốc Thiên Ân,"339 phạm văn đồng, phạm văn đồng,, Chợ Chùa, Nghĩa Hành, Quảng Ngãi",0967478294
Quầy Thuốc Gia Huy,"Thôn Đồng Hải, Thôn Đồng Hải, Đông Vinh, Đông Hưng, Thái Bình",0987288037
Quầy thuốc Lan Hương,"Thôn Vạn Minh, Đông Lĩnh, Đông Hưng, Thái Bình",0379205880
Quầy Thuốc Cường Thủy - Ds: Trần Thị Thu Thủy,"Thôn Gia Hòa 1, An Vinh, Quỳnh Phụ, Thái Bình","0949455128, 0988423168"
QT Nguyễn Duyên,"Khu Tái Định cư, Xuân Lôi, Phú Xuân, Thái Bình, Thái Bình",0931529656
Nhà thuốc Duy Thắng - PTCM- DS Nguyễn Hồng Hải,"KĐT Trái Diêm I, Tây Giang, Tiền Hải, Thái Bình, Tây Giang, Tiền Hải, Thái Bình",0989998065
NT Minh Hải,"Số 204/1, Bắc Kạn, Hoàng Văn Thụ, Thái Nguyên, Thái Nguyên",0989285025
QT An Khang,"thôn Tân Ngữ 2, Định Long, Yên Định, Thanh Hóa",0967616198
Quầy Thuốc Giang Sơn - Chủ NT: Trịnh Thị Giang,"TDP9, Quí Lộc, Yên Định, Thanh Hóa",0383466788
QT Lê Thị Hương - DS: Lê Thị Hương,"Tổ 1, An Tường, Tuyên Quang, Tuyên Quang",0816663688
NT Khải Hoàng,"Số 1048, Tôn Đức Thắng, Vĩnh Mỹ, Châu Đốc, An Giang",0988310945
NT Song Thái,"Số 51, Nguyễn Văn Thoại, Châu Phú B, Châu Đốc, An Giang",0384777505
Quầy Thuốc Hiền Mai,"Đường Số 4, Tổ 7, Ấp Phú Hữu, Phú Hoà, Thoại Sơn, An Giang",0364579769
QT Ninh Tú,"Thôn Xuân, Tân Tiến, Bắc Giang, Bắc Giang",0979255029
QT Dương Anh,"Cầu Thượng, Nhã Nam, Tân Yên, Bắc Giang",0988233356
Quầy thuốc 68 - Công ty DP Ngọc Đông,"Thôn Phố, Liên Sơn, Tân Yên, Bắc Giang",0336700548
CS KDTP đông dược Trường Thọ Đường (Đông Dược),"Số 71, Phan Ngọc Hiển, 3, Bạc Liêu, Bạc Liêu","0824646929, 02913822512"
Phòng Chẩn Trị Y Học Cổ Truyền,"Ấp Tam Hưng, Vĩnh Hưng, Vĩnh Lợi, Bạc Liêu",0988295036
Chi Nhánh Công ty CPDP Bắc Ninh tại Tiên Sơn,"Số 37, Trần Phú, Đông Ngàn, Từ Sơn, Bắc Ninh",0989137726
NT Thúy Nhị,"Số 69, Trần Phú, Đông Ngàn, Từ Sơn, Bắc Ninh",0975286736
Đại lý Đông Dược Thái Bình,"Số 17, Đường 29/3, Ba Tri, Ba Tri, Bến Tre","0913665168, 02753850371"
Nhà thuốc Thuân Hòa Đường,"Số 48, Ba Tri, Ba Tri, Bến Tre",0907344484
NT Chánh Hưng Đường,"ấP Cây Dầu, Mỹ Chánh, Ba Tri, Bến Tre",0907069038
Nhà thuốc Nhuận Nguyên Đường,"Số 15, Nguyễn Du, 2, Bến Tre, Bến Tre",0947418898
NT An Phước,"306C4, Nguyễn Huệ, Phú Khương, Bến Tre, Bến Tre","0919847785, 0888449689"
Nhà thuốc Tế Nam,"Mỏ Cày, Mỏ Cày Nam, Bến Tre","0937303232, 0937229263"
QT Văn Phụng,"Thôn Xuân Phong Nam, An Hòa, An Lão, Bình Định",0984473923
Công Ty TNHH Dược Hưng Phát,"Số 39, Nguyễn Du, Lê Lợi, Qui Nhơn, Bình Định",0935489299
NT Hưng Thịnh,"Số 37 - 39, Tăng Bạt Hổ, Lý Thường Kiệt, Qui Nhơn, Bình Định",0935489299
Quầy Thuốc Dapharco 75 - DS Nguyễn Thị Hoa,"Số 864, Tôn Đức Thắng, Hòa Khánh Bắc, Liên Chiểu, Đà Nẵng",0986712952
NT Tân Thái Bình,"Số 18, Nơ Trang Long, Thống Nhất, Buôn Ma Thuột, Đắk Lắk",0523571869
NT Cao Chánh,"Số 23, Nguyễn Tất Thành, Đắk Mil, Đắk Mil, Đắk Nông",0389045000
Công ty CPTM và Dược phẩm Hoàng Lan - Nhà thuốc Quang Minh,"Số nhà 181, Tổ 5, Him Lam, Điện Biên Phủ, Điện Biên",0985253916
Cty CPDP Phương Thảo - Nhà thuốc Số 6,"Tổ 10, Thanh Trường, Điện Biên Phủ, Điện Biên",0812487888
NT Hải Cường,"Số 37/42A, Kp5 , Tân Phong, Biên Hòa, Đồng Nai",0978279658
QT Huỳnh Nga,"Số 1960E ấp 5, Thạnh Phú, Vĩnh Cửu, Đồng Nai",0909134100
Tiệm thuốc Bắc Vĩnh Phát Đường,"Số 113, ấp 3 Chợ Thống Linh, Phương Trà, Cao Lãnh, Đồng Tháp",0919879499
Quầy thuốc Minh Lâm,"Điệp Sơn, Yên Nam, Duy Tiên, Hà Nam",0974034162
Nhà thuốc số 3,"Số 162, Trường Chinh, Minh Khai, Phủ Lý, Hà Nam",0985674431
(hủy) - NT Hải Phát Pharma - Ds Nguyễn Văn ánh,"89, Trúc Bạch, Trúc Bạch, Ba Đình, Hà Nội",0981830860
Nhà thuốc Gia Đình I - DS Phạm Thị Thu Hà,"Số 6 ngõ 6, Vĩnh Phúc, Vĩnh Phúc, Ba Đình, Hà Nội",0985152999
Nhà Thuốc GLOBAL56 Tiệp Tươi - DS Hồ Thị Hà,"Số 115 B1, Thành Công, Thành Công, Ba Đình, Hà Nội",0989868281
NT Thái - DS: Phan Văn Thái,"số 259, Hoàng Hoa Thám, Liễu Giai, Ba Đình, Hà Nội",0916383313
Nhà Thuốc Minh Anh Pharmacy - Ds: Trần Tiến Thắng,"Kot Nhà A7-2, An Bình, Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",0988947186
NT Hải Đăng - DS Lê Thị Oanh,"Số 111, Cổ Nhuế, Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",0975392866
NT Mai Hạnh 1- DS Dương Thị Kim Thoa,"Số 229, Mai Dịch, Mai Dịch, Cầu Giấy, Hà Nội",0984494599
NT THUMEDI STORE - DS Đỗ Đinh Trung,"Số 4 ngõ 106, Hoàng Quốc Việt, Nghĩa Đô, Cầu Giấy, Hà Nội",0828600983
(hủy) - NT Trang Linh 1 - DS Nguyễn Thị Ngọc Anh,"91, Lương Đình Của, Phương Mai, Đống Đa, Hà Nội",0348924696
Nhà Thuốc Thanh Tùng -DS: Vũ Văn Điền,"Số 101c8, Kim Liên, Kim Liên, Đống Đa, Hà Nội",0984629450
Nhà thuốc Đức Hiền DS Nguyễn Quang Khải,"Số 58, Lê Trọng Tấn, La Khê, Hà Đông, Hà Nội",0978291673
Nhà thuốc Mai Phương DS Bùi Thế Tâm,"Ki ốt số 2 CT1B2 Khu đô thị Xa La,, Phúc La, Hà Đông, Hà Nội",0367612199
NT GPP số 16 Hà Đông - DS: Nguyễn Ngọc Tuân,"Số 19D1 Khu Dãn Dân, Yên Phúc, Phúc La, Hà Đông, Hà Nội",0966576686
NT Hellopharm DS: Nguyễn Mạnh Hùng,"Số 21 tổ dân phố 2, Văn Phú, Phú La, Hà Đông, Hà Nội",0376681098
Siêu thị nhà thuốc Tiện Lợi - Ds Bùi Thị Ngoan,"số 1a ngõ 58, , Ao Sen, TDP 3, Mộ Lao, Hà Đông, Hà Nội",0865508698
Nhà thuốc Đa Phúc - DS Nguyễn Thị Thảo,"Số 144, Đê Trần Khát Chân, Thanh Lương, Hai Bà Trưng, Hà Nội",0388529893
NT Cường Thịnh 6 - DS Mai Tuấn Ninh,"63, Đê Trần Khát Chân, Thanh Lương, Hai Bà Trưng, Hà Nội",0962692881
Nhà thuốc An Thịnh- DS Nguyễn Thị Mừng,"Số 69, Tam Trinh, Hoàng Văn Thụ, Hoàng Mai, Hà Nội",0983028680
nhà thuốc Đức Linh 1 - DS Trần Văn Được,"Số 4, Đặng Xuân Bảng, Đại Kim, Hoàng Mai, Hà Nội",0379697756
Nhà Thuốc Đức Nam - DS Hoàng Thị Hồng,"Số 69 Tổ 1, Bằng A, Hoàng Liệt, Hoàng Mai, Hà Nội",0987840679
Nhà Thuốc Mai Dương. Ds Nguyễn Thị Vân Anh,"Số 93 Ngõ 61, Bằng A, Hoàng Liệt, Hoàng Mai, Hà Nội",0963224031
Nhà thuốc Minh Huy - DS Bùi Thị Thanh,"Số 21 Ngách 88/61, Giáp Nhị, Thịnh Liệt, Hoàng Mai, Hà Nội",0973800512
Nhà thuốc Nguyễn Minh Cương - DS Nguyễn Minh Cương,"Số 1 ngõ 13, Lĩnh Nam, Lĩnh Nam, Hoàng Mai, Hà Nội",0362615368
Nhà thuốc Nhật ánh - DS Trịnh Thị Hồng Việt,"Số 2 ngõ 293, Tam Trinh, Hoàng Văn Thụ, Hoàng Mai, Hà Nội",0984127668
Nhà thuốc Thanh Thảo - DS Trần Mạnh Duy,"Số 257 Tổ 3, Định Công, Định Công, Hoàng Mai, Hà Nội",0962060686
Nhà thuốc Trung Hiếu - DS Nguyễn Huy Hải,"Số 751, Trương Định, Thịnh Liệt, Hoàng Mai, Hà Nội",0332279927
Nhà thuốc Yến Thanh - DS : Nguyễn Văn Hiu,"Số 112, Nguyễn An Ninh, Tương Mai, Hoàng Mai, Hà Nội",0943456282
NT Hồng Đăng - DS: Nguyễn Thị Kim Oanh,"Số 68, Nguyễn An Ninh, Tương Mai, Hoàng Mai, Hà Nội",0868418002
NT Huyền Linh - DS: Vũ Thị Hồng Thắm,"Số 3, Nguyễn An Ninh, Tương Mai, Hoàng Mai, Hà Nội",0973025203
NT Ngọc Quang - DS: Nguyễn Thị Hằng,"Số 53C ngõ 255, Lĩnh Nam, Lĩnh Nam, Hoàng Mai, Hà Nội",0367688630
Nhà thuốc Thuộc Đường - DS Nguyễn Phương Loan,"Số 106 K14, KĐT Việt Hưng, Đức Giang, Long Biên, Hà Nội",0968555246
nhà thuốc Hùng Anh - DS Chu Thị Kim Chi,"Số 61 ngõ 50, Mễ Trì Thượng, Mễ Trì, Nam Từ Liêm, Hà Nội",0982150785
Nhà thuốc Thanh Hương,"Số 23 ngõ 35, Tu Hoàng, Xuân Phương, Nam Từ Liêm, Hà Nội",0944989389
NT An Khang Pharmacy,"Kiot 7 CT1AB, CC Vinaconex 3, Trung Văn, Nam Từ Liêm, Hà Nội",0705304968
NT Thu Hương - DS Nguyễn Hữu Tùng,"Số 27 Ngõ 199, Hồ Tùng Mậu, Cầu Diễn, Nam Từ Liêm, Hà Nội",0357012161
Nhà thuốc Sáng Vân - DS Nguyễn Anh Minh,"Số 10/32/36, An Dương, Yên Phụ, Tây Hồ, Hà Nội","0904259532, 0904259532"
QT Minh Phúc - Ds Nguyễn THị Hồng Lý,"Thôn Siêu Quần, Tả Thanh Oai, Thanh Trì, Hà Nội",0393009397
Quầy thuốc Thanh Nhàn,"Cụm 3 Chợ, Vĩnh Quỳnh, Vĩnh Quỳnh, Thanh Trì, Hà Nội",0862229566
Quầy thuốc tư nhân Hướng Dương - DS Phạm Thị Vân Anh,"Số 15 Ngõ 241 Yên Xá (đội 6 Yên Xá),, Tân Triều, Thanh Trì, Hà Nội",0985501573
Quầy thuốc tư nhân Nguyệt Minh - DS Nguyễn Thị Nguyệt,"Số 138 , Triều Khúc, Tân Triều, Thanh Trì, Hà Nội",0936382898
Nhà Thuốc Minh Tiến - D/S: Quách Thị Toàn,"Số 148, Nguyễn Xiển, Hạ Đình, Thanh Xuân, Hà Nội",0904209066
Nhà thuốc 23 Cty TNHH Thành Sen,"Số 38, Phan Đình Giót, Nam Hà, Hà Tĩnh, Hà Tĩnh",0963047547
Công ty cổ phần dược Hà Tĩnh - Nhà thuốc Ngọc Bích,"Thôn Sinh Cờ, Sơn Châu, Hương Sơn, Hà Tĩnh",0968449429
Quầy Thuốc Bình Định - Ds Vũ Trọng Nghĩa,"Phố Ghẽ, Phiên Thành, Tân Trường, Cẩm Giàng, Hải Dương",0912192000
QT Yết Kiêu,"Liên Hồng, Gia Lộc, Hải Dương",0353874002
QT số 22 - DS: Phí Thị Mến,"Đoàn Xá, Tân Quang, Ninh Giang, Hải Dương",0965499756
Nhà thuốc Thương Huyền,"Số 1, Sơn Hải, Vạn Sơn, Đồ Sơn, Hải Phòng",0974689830
Nhà Thuốc 307 - DS Lương Ngọc Thành,"Số 307, Hai Bà Trưng, Cát Dài, Lê Chân, Hải Phòng",0899290223
Nhà Thuốc Hồng Thắm - DS Vũ Hồng Thắm,"Số 250, Trần Nguyên Hãn, Trần Nguyên Hãn, Lê Chân, Hải Phòng",0904242739
NT Hoa Phượng - DS Nguyễn Thị Huệ,"Số 273, Chợ Hàng cũ, Dư Hàng Kênh, Lê Chân, Hải Phòng",0933301191
Thành 307 - Thiết bị Y Tế -Thực Phẩm Chức Năng,"Số Nhà 297, Hai Bà Trưng, Cát Dài, Lê Chân, Hải Phòng",0899290223
Thiết bị Y Tế -Thực Phẩm Chức Năng - Thành 307 - NDD: Vũ Thủy (cơ sở 2),"Số 114, Nguyễn Đức Cảnh, Cát Dài, Lê Chân, Hải Phòng",0899290223
NT Lê Nga,"xóm 5, Thuỷ Sơn, Thuỷ Nguyên, Hải Phòng",0904920035
Nhà thuốc Kim Chi,"305, Nguyễn Duy Dương, 09, 10, Hồ Chí Minh",0984034334
Cty TNHH ASIA PHARCO - NDD: anh Nam,"Số 21, Thạnh Lộc 04 ( TL04 ), Thạnh Lộc, 12, Hồ Chí Minh",0798443802
Nhà thuốc Cửu Long - NDD Bành Anh Đào,"Số 158, Nguyễn Trãi, 03, 5, Hồ Chí Minh",0908368326
Nhà thuốc Phong Phú 1,"Số 40, Đường Số 14, Phước Bình, 9, Hồ Chí Minh",0379421248
Nhà thuốc An Khang,"Cụm 2 - 4, Đường M14, KCN Tân Bình Mở Rộng, Bình Hưng Hòa, Bình Tân, Hồ Chí Minh","0908433536, 0839246197"
Nhà thuốc Tư Nhân Cẩm Trúc,"Số 50, Phan Văn Hân, 19, Bình Thạnh, Hồ Chí Minh","0944278194, 0838407419"
Nhà thuốc Xuân Trang,"Số 93, Nguyễn Thượng Hiền, 05, Bình Thạnh, Hồ Chí Minh",0902235039
Nhà thuốc TM Pharma 1,"757, Lê Đức Thọ, 16, Gò Vấp, Hồ Chí Minh",0906823858
Hộ kinh doanh nhà thuốc Phúc Tâm Khang,"Số 50, Hoa Sứ, 07, Phú Nhuận, Hồ Chí Minh",0348322570
Nhà thuốc Thiên Phước,"Số 247, Huỳnh Văn Bánh, 12, Phú Nhuận, Hồ Chí Minh",0975264992
Nhà Thuốc Ngọc Anh,"Số 10, Cù Chính Lan, 13, Tân Bình, Hồ Chí Minh",0937762333
Nhà thuốc tư nhân Tân Châu,"Số 278, Bàu Cát, 11, Tân Bình, Hồ Chí Minh",0934737212
Hệ thống nhà thuốc Big Family,"83/72, Vườn Lài, Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",0785868088
Nhà thuốc Thùy Dương 2,"Số nhà 529A, Đường Âu Cơ, Phú Trung, Tân Phú, Hồ Chí Minh",0979987230
Nhà thuốc Giang Sơn 2,"99-101, Tô Ngọc Vân, Linh Tây, Thủ Đức, Hồ Chí Minh",0903993500
Nhà thuốc Khoa Nguyên,"Số 69, Dân Chủ, Bình Thọ, Thủ Đức, Hồ Chí Minh",0903744821
Nhà Thuốc An Đức,"Số 317, Văn Giang, Văn Giang, Hưng Yên",0366170108
QT Thu Hà,"274, Yên Mỹ, Yên Mỹ, Hưng Yên","0987579988, 02216524666"
NT Như ý Lê,"Số 13, Trần Quang Khải, An Hòa, Rạch Giá, Kiên Giang",0989999340
QT Kim Cúc,"Thôn 1, Rô Men, Đam Rông, Lâm Đồng",0915601196
