,Tên công ty,Mã số thuế,Địa chỉ,Người đại diện,Điện thoại,Ngày hoạt động,Quản lý bởi,Loại hình DN,Tình trạng,Ngành nghề kinh doanh chính,Loại ngành nghề,Mã ngành nghề,Ngành nghề kinh doanh,Phường/Xã,Quận/Huyện,Tỉnh/Thành Phố,Mã tỉnh,Miền,URL,Trạng thái invoice,URL invoice,Tên invoice,Mã số thuế invoice ,Cảnh báo,Tên quốc tế,Tên viết tắt
10,TRƯỜNG CAO ĐẲNG CÔNG NGHIỆP HUẾ,3300407722,70 Nguyễn Huệ - Phường Vĩnh Ninh - Thành phố Huế - Thừa Thiên - Huế.,Phạm Văn Quân ( sinh năm 1979 - Thái Bình) Ẩn thông tin,,2006-08-22,Cục Thuế Tỉnh TT-Huế,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Vĩnh Ninh,Thành phố Huế,Thừa Thiên,,,https://masothue.com/3300407722-truong-cao-dang-cong-nghiep-hue,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
11,TRƯỜNG CAO ĐẲNG CÔNG NGHIỆP HƯNG YÊN,0900608626,. - Xã Giai Phạm - Huyện Yên Mỹ - Hưng Yên.,Nghiêm Viết Hoàng,03212474266,2010-08-10,Cục Thuế Tỉnh Hưng Yên,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (được cấp thông báo MST),,,,,Xã Giai Phạm,Huyện Yên Mỹ,Hưng Yên.,HYN,MB,https://masothue.com/0900608626-truong-cao-dang-cong-nghiep-hung-yen,Không chứa thông tin hoá đơn,,,,,,
12,TRƯỜNG CAO ĐẲNG CÔNG NGHIỆP NAM ĐỊNH,0600334364,Xã Liên Bảo - - Huyện Vụ Bản - Nam Định.,Nguyễn Duy Phấn ( sinh năm 1966 - Thái Bình) Ẩn thông tin,849581,2004-10-27,Cục Thuế Tỉnh Nam Định,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Xã Liên Bảo,Huyện Vụ Bản,Nam Định.,NDH,MB,https://masothue.com/0600334364-truong-cao-dang-cong-nghiep-nam-dinh,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
13,TRƯỜNG CAO ĐẲNG CÔNG NGHIỆP THÁI NGUYÊN,4600497197,Xã Sơn Cẩm - - Thành phố Thái Nguyên - Thái Nguyên.,Nguyễn Thị Việt Hương,,2009-02-21,Cục Thuế Tỉnh Thái Nguyên,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Xã Sơn Cẩm,Thành phố Thái Nguyên,Thái Nguyên.,TNN,TN,https://masothue.com/4600497197-truong-cao-dang-cong-nghiep-thai-nguyen,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
14,TRƯỜNG CAO ĐẲNG CÔNG NGHIỆP THỰC PHẨM,2600452266,Đường Nguyễn Tất Thành - Phường Tân Dân - Thành phố Việt Trì - Phú Thọ.,Đinh Đức Lương,0210 3849 674,2008-11-21,Cục Thuế Tỉnh Phú Thọ,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Tân Dân,Thành phố Việt Trì,Phú Thọ.,PTO,MB,https://masothue.com/2600452266-truong-cao-dang-cong-nghiep-thuc-pham,Hoá đơn điện tử,https://masothue.com/0100109106-tap-doan-cong-nghiep-vien-thong-quan-doi,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,0100109106 - TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,,,
15,TRƯỜNG CAO ĐẲNG CÔNG NGHIỆP VÀ THƯƠNG MẠI,2500369448,Số 1 đường Chùa Cấm - Phường Trưng Nhị - Thành phố Phúc Yên - Vĩnh Phúc.,Nguyễn Tiến Tùng ( sinh năm 1971 - Sơn La) Ẩn thông tin,02113873902,2009-08-11,Cục Thuế Tỉnh Vĩnh Phúc,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Trưng Nhị,Thành phố Phúc Yên,Vĩnh Phúc.,VPC,MB,https://masothue.com/2500369448-truong-cao-dang-cong-nghiep-va-thuong-mai,Hoá đơn điện tử,https://masothue.com/0100109106-tap-doan-cong-nghiep-vien-thong-quan-doi,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,0100109106 - TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,,,
16,TRƯỜNG CAO ĐẲNG CÔNG NGHIỆP VÀ XÂY DỰNG,5700371697,Khu Liên Phương - Phường Phương Đông - Thành phố Uông Bí - Quảng Ninh.,Đỗ Minh Chiến,033855397,2001-12-21,Chi cục Thuế khu vực Uông Bí - Quảng Yên,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Phương Đông,Thành phố Uông Bí,Quảng Ninh.,QNH,MB,https://masothue.com/5700371697-truong-cao-dang-cong-nghiep-va-xay-dung,Hoá đơn điện tử,https://masothue.com/0100109106-tap-doan-cong-nghiep-vien-thong-quan-doi,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,0100109106 - TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,,,
17,TRƯỜNG CAO ĐẲNG CÔNG NGHIỆP VIỆT ĐỨC,4600133591,- Phường Thắng Lợi - Thành phố Sông Công - Thái Nguyên.,Nguyễn Đức Sinh,(0280) - 862313,1998-10-08,Chi cục Thuế khu vực Sông Công - Đại Từ,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Thắng Lợi,Thành phố Sông Công,Thái Nguyên.,TNN,TN,https://masothue.com/4600133591-truong-cao-dang-cong-nghiep-viet-duc,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
18,TRƯỜNG CAO ĐẲNG QUỐC TẾ SÀI GÒN,0400476957,69 Đoàn Hữu Trưng - Phường Hoà An - Quận Cẩm Lệ - Đà Nẵng.,Đinh Thế Hanh,871441,2004-12-16,Chi cục thuế khu vực Cẩm Lệ - Hòa Vang,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Hoà An,Quận Cẩm Lệ,Đà Nẵng.,DNG,MT,https://masothue.com/0400476957-truong-cao-dang-quoc-te-sai-gon,Hoá đơn điện tử,https://masothue.com/0101300842-cong-ty-tnhh-phat-trien-cong-nghe-thai-son,CÔNG TY TNHH PHÁT TRIỂN CÔNG NGHỆ THÁI SƠN,0101300842 - CÔNG TY TNHH PHÁT TRIỂN CÔNG NGHỆ THÁI SƠN,,,
19,TRƯỜNG CAO ĐẲNG Y DƯỢC PHÚ THỌ,2600581649,"Số 2201, đường Hùng Vương, phường Gia Cẩm - - Thành phố Việt Trì - Phú Thọ.",Hà Thanh Hoà,0210 3848 471,2009-05-29,Cục Thuế Tỉnh Phú Thọ,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,"Số 2201, đường Hùng Vương, phường Gia Cẩm",Thành phố Việt Trì,Phú Thọ.,PTO,MB,https://masothue.com/2600581649-truong-cao-dang-y-duoc-phu-tho,Hoá đơn điện tử,https://masothue.com/0101243150-cong-ty-co-phan-misa,CÔNG TY CỔ PHẦN MISA,0101243150 - CÔNG TY CỔ PHẦN MISA,,,
20,TRƯỜNG CAO ĐẲNG GIAO THÔNG VẬN TẢI TRUNG ƯƠNG V,0400915795,28 Ngô Xuân Thu - Phường Hoà Hiệp Bắc - Quận Liên Chiểu - Đà Nẵng.,Nguyễn Văn Tươi,3842266,2009-02-23,Cục Thuế TP Đà Nẵng,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Hoà Hiệp Bắc,Quận Liên Chiểu,Đà Nẵng.,DNG,MT,https://masothue.com/0400915795-truong-cao-dang-giao-thong-van-tai-trung-uong-v,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
21,TRƯỜNG CAO ĐẲNG HÀNG HẢI I,0200288138,Số 498 Đường Đà nẵng - Phường Đông Hải 1 - Quận Hải An - Hải Phòng.,Lưu Việt Hùng ( sinh năm 1976 - Hải Phòng) Ẩn thông tin,751334,1998-11-09,Cục Thuế TP Hải Phòng,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Đông Hải 1,Quận Hải An,Hải Phòng.,HPG,MT,https://masothue.com/0200288138-truong-cao-dang-hang-hai-i,Hoá đơn điện tử,https://masothue.com/0101243150-cong-ty-co-phan-misa,CÔNG TY CỔ PHẦN MISA,0101243150 - CÔNG TY CỔ PHẦN MISA,,,
22,TRƯỜNG CAO ĐẲNG THÁI NGUYÊN,4600425266,"Tổ 8, phường Thịnh Đán - - Thành phố Thái Nguyên - Thái Nguyên.",Phạm Chí Cường,0280855290,2008-01-15,Cục Thuế Tỉnh Thái Nguyên,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,"Tổ 8, phường Thịnh Đán",Thành phố Thái Nguyên,Thái Nguyên.,TNN,TN,https://masothue.com/4600425266-truong-cao-dang-thai-nguyen,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
23,TRƯỜNG CAO ĐẲNG KINH TẾ KẾ HOẠCH ĐÀ NẴNG,0400880951,143 Nguyễn Lương Bằng - Phường Hoà Khánh Bắc - Quận Liên Chiểu - Đà Nẵng.,Nguyễn Văn Huỳnh,05113734866,2009-02-19,Cục Thuế TP Đà Nẵng,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Hoà Khánh Bắc,Quận Liên Chiểu,Đà Nẵng.,DNG,MT,https://masothue.com/0400880951-truong-cao-dang-kinh-te-ke-hoach-da-nang,Hoá đơn điện tử,https://masothue.com/0101243150-cong-ty-co-phan-misa,CÔNG TY CỔ PHẦN MISA,0101243150 - CÔNG TY CỔ PHẦN MISA,,,
24,TRƯỜNG CAO ĐẲNG KINH TẾ - KỸ THUẬT TRỰC THUỘC ĐHTN,4600368459,Phường Thịnh Đán - - Thành phố Thái Nguyên - Thái Nguyên.,Đặng Xuân Ngọc,0280746651,2005-04-13,Cục Thuế Tỉnh Thái Nguyên,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Thịnh Đán,Thành phố Thái Nguyên,Thái Nguyên.,TNN,TN,https://masothue.com/4600368459-truong-cao-dang-kinh-te-ky-thuat-truc-thuoc-dhtn,Hoá đơn giấy,https://masothue.com/4600901589-cong-ty-co-phan-in-thuong-mai-tien-hoang,CÔNG TY CỔ PHẦN IN THƯƠNG MẠI TIẾN HOÀNG,4600901589 - CÔNG TY CỔ PHẦN IN THƯƠNG MẠI TIẾN HOÀNG,,,
25,TRƯỜNG CAO ĐẲNG KINH TẾ - KỸ NGHỆ THỰC HÀNH PHÚ THỌ,2600443141,Đường Nguyễn Tất Thành - Phường Thọ Sơn - Thành phố Việt Trì - Phú Thọ.,Nguyễn Văn Yên,0210 863 839,2008-09-23,Cục Thuế Tỉnh Phú Thọ,"Đơn vị hành chính, đơn vị sự nghiệp",Ngừng hoạt động nhưng chưa hoàn thành thủ tục đóng MST,,,,,Phường Thọ Sơn,Thành phố Việt Trì,Phú Thọ.,PTO,MB,https://masothue.com/2600443141-truong-cao-dang-kinh-te-ky-nghe-thuc-hanh-phu-tho,Hoá đơn điện tử,https://masothue.com/0309478306-cong-ty-co-phan-ts24,CÔNG TY CỔ PHẦN TS24,0309478306 - CÔNG TY CỔ PHẦN TS24,,,
26,NGUYỄN THỊ GÁI,2500481224,"Thành phố Vĩnh Yên, Vĩnh Phúc",Nguyễn Thị Gái,,2012-06-29,Chi cục Thuế Thành phố Vĩnh Yên,Hộ kinh doanh cá thể,Đang hoạt động (đã được cấp GCN ĐKT),,,,,,,,,,https://masothue.com/2500481224-nguyen-thi-gai,Không chứa thông tin hoá đơn,,,,,,
27,"TRƯỜNG CAO ĐẲNG KINH TẾ, KỸ THUẬT VÀ THỦY SẢN",2300330411,Khu phố Tân Lập - Phường Đình Bảng - Thành phố Từ Sơn - Bắc Ninh.,Bùi Thị Hạnh,0241831421,2008-04-29,Cục Thuế Tỉnh Bắc Ninh,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Đình Bảng,Thành phố Từ Sơn,Bắc Ninh.,BNH,MB,https://masothue.com/2300330411-truong-cao-dang-kinh-te-ky-thuat-va-thuy-san,Không chứa thông tin hoá đơn,,,,,,
28,TRƯỜNG CAO ĐẲNG KỸ THUẬT CÔNG NGHIỆP,2400213373,"202 đường Trần Nguyên Hãn, Phường Trần Nguyên Hãn - Phường Trần Nguyên Hãn - Thành phố Bắc Giang - Bắc Giang.",Đặng Thanh Thuỷ,0240855417,1999-01-02,Chi cục Thuế khu vực Bắc Giang - Yên Dũng,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,"202 đường Trần Nguyên Hãn, Phường Trần Nguyên Hãn",Thành phố Bắc Giang,Bắc Giang.,BGG,MB,https://masothue.com/2400213373-truong-cao-dang-ky-thuat-cong-nghiep,Hoá đơn điện tử,https://masothue.com/0106869738-tong-cong-ty-dich-vu-vien-thong-loai-hinh-cong-ty-tnhh,TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),,,
29,TRƯỜNG CAO ĐẲNG LẠC VIỆT,0401342635,42-46 Phan Chu Trinh - Phường Hải Châu I - Quận Hải Châu - Đà Nẵng.,Nguyễn Đức Tịnh,3553445,2010-03-11,Chi cục Thuế Quận Hải Châu,Các tổ chức kinh tế khác,Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Hải Châu I,Quận Hải Châu,Đà Nẵng.,DNG,MT,https://masothue.com/0401342635-truong-cao-dang-lac-viet,Không chứa thông tin hoá đơn,,,,,,
30,TRƯỜNG CAO ĐẲNG LƯƠNG THỰC - THỰC PHẨM,0400726420,101B Lê Hữu Trác - - Quận Sơn Trà - Đà Nẵng.,Trần Quốc Việt,3844185,2009-01-09,Cục Thuế TP Đà Nẵng,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (được cấp thông báo MST),,,,,,,,,,https://masothue.com/0400726420-truong-cao-dang-luong-thuc-thuc-pham,Hoá đơn giấy,https://masothue.com/0400491306-cong-ty-tnhh-in-kien-vn,CÔNG TY TNHH IN KIẾN.VN,0400491306 - CÔNG TY TNHH IN KIẾN.VN,,,
31,TRƯỜNG CAO ĐẲNG NGHỀ BẮC GIANG,2400368070,Đồi Cốc - Dĩnh Trì - Xã Dĩnh Trì - Thành phố Bắc Giang - Bắc Giang.,Nguyễn Văn Dũng,0240557039,2001-09-06,Cục Thuế Tỉnh Bắc Giang,"Đơn vị hành chính, đơn vị sự nghiệp",Ngừng hoạt động và đã đóng MST,,,,,Xã Dĩnh Trì,Thành phố Bắc Giang,Bắc Giang.,BGG,MB,https://masothue.com/2400368070-truong-cao-dang-nghe-bac-giang,Không chứa thông tin hoá đơn,,,,,,
32,TRƯỜNG CAO ĐẲNG CÔNG THƯƠNG THÁI NGUYÊN,4600140380,Xã Tích lương - - Thành phố Thái Nguyên - Thái Nguyên.,Phan Văn Tư,0280845035,1998-10-13,Cục Thuế Tỉnh Thái Nguyên,"Đơn vị hành chính, đơn vị sự nghiệp",Ngừng hoạt động và đã đóng MST,,,,,Xã Tích lương,Thành phố Thái Nguyên,Thái Nguyên.,TNN,TN,https://masothue.com/4600140380-truong-cao-dang-cong-thuong-thai-nguyen,Không chứa thông tin hoá đơn,,,,,,
33,TRƯỜNG CAO ĐẲNG CƠ ĐIỆN PHÚ THỌ,2600526937,Khu 5 - Thị trấn Thanh Ba - Huyện Thanh Ba - Phú Thọ.,Trần Thị Thúy Lan,0210 3885 313,2009-04-14,Cục Thuế Tỉnh Phú Thọ,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Thị trấn Thanh Ba,Huyện Thanh Ba,Phú Thọ.,PTO,MB,https://masothue.com/2600526937-truong-cao-dang-co-dien-phu-tho,Hoá đơn giấy,https://masothue.com/2600168801-cong-ty-co-pha-n-in-phu-tho,CÔNG TY CỔ PHẦN IN PHÚ THỌ,2600168801 - CÔNG TY CỔ PHẦN IN PHÚ THỌ,,,
34,TRƯỜNG CAO ĐẲNG CƠ ĐIỆN VÀ THUỶ LỢI,0900195425,. - Xã Dân Tiến - Huyện Khoái Châu - Hưng Yên.,Đỗ Thị Tuyết,0321713046,2002-05-10,Cục Thuế Tỉnh Hưng Yên,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Xã Dân Tiến,Huyện Khoái Châu,Hưng Yên.,HYN,MB,https://masothue.com/0900195425-truong-cao-dang-co-dien-va-thuy-loi,Không chứa thông tin hoá đơn,,,,,,
35,TRƯỜNG CAO ĐẲNG CƠ ĐIỆN VÀ XÂY DỰNG BẮC NINH,2300220916,Khu 10 - Phường Đại Phúc - Thành phố Bắc Ninh - Bắc Ninh.,Nguyễn Quốc Huy,0241854683,2002-01-21,Cục Thuế Tỉnh Bắc Ninh,,,,,,,Phường Đại Phúc,Thành phố Bắc Ninh,Bắc Ninh.,BNH,MB,https://masothue.com/2300220916-truong-cao-dang-co-dien-va-xay-dung-bac-ninh,Không chứa thông tin hoá đơn,,,,,,
36,TRƯỜNG CAO ĐẲNG CƠ GIỚI NINH BÌNH,2700360058,Phường Yên Bình - Phường Yên Bình - Thành phố Tam Điệp - Ninh Bình.,Dương Văn Cường,770799,2008-09-25,Cục Thuế Tỉnh Ninh Bình,"Đơn vị hành chính, đơn vị sự nghiệp",Đang hoạt động (đã được cấp GCN ĐKT),,,,,Phường Yên Bình,Thành phố Tam Điệp,Ninh Bình.,NBH,MT,https://masothue.com/2700360058-truong-cao-dang-co-gioi-ninh-binh,Hoá đơn giấy,https://masothue.com/2700498190-cong-ty-tnhh-san-xuat-thuong-mai-in-ha-chi,CÔNG TY TNHH SẢN XUẤT - THƯƠNG MẠI & IN HÀ CHI,2700498190 - CÔNG TY TNHH SẢN XUẤT - THƯƠNG MẠI & IN HÀ CHI,,,
