Xếp hạng VNR500,Mã số thuế,Mã chứng khoán,Trụ sở chính,Tel,Fax,E-mail,Website
46(B2/2021)-103(B1/2021),0200124891,MSB,Số 54A Nguyễn Chí Thanh - Phường Láng Thượng - Quận Đống Đa - TP. Hà Nội,024-37718989,024-37718899,msb@msb.com.vn,
96(B1/2021),0100100008,Chưa niêm yết,25 Bà Triệu - Phường Hàng Bài - Quận Hoàn Kiếm - TP. Hà Nội,024-38257700,024-38262269,info@vinatex.com.vn,
47(B2/2021)-104(B1/2021),1600169024,Chưa niêm yết,326 Hùng Vương - Phường Mỹ Long - TP. Long Xuyên - Tỉnh An Giang,0296-3840138,0296-3840139,pr@saomaigroup.com,
107(B1/2021),0101057919,PVF,Số 22 Ngô Quyền - Phường Tràng Tiền - Quận Hoàn Kiếm - TP. Hà Nội,024-39426800,024-39426796 / 39426797,pvb@pvcombank.vn,
49(B2/2021)-106(B1/2021),0200253985,SSB,198 Trần Quang Khải - Phường Lý Thái Tổ  - Quận Hoàn Kiếm - TP. Hà Nội,024-39448688,024-39448689,contact@seabank.com.vn,
51(B2/2021)-110(B1/2021),4600310787,Chưa niêm yết,Tổ 14 - Phường Gia Sàng - TP. Thái Nguyên - Tỉnh Thái Nguyên,0208-3855276 / 3858405,0208-3858404,info.tn@thaihung.com.vn,
109(B1/2021),5701384498,Chưa niêm yết,Khu 8 - Phường Mông Dương - TP. Cẩm Phả - Tỉnh Quảng Ninh,0203-6261089,0203-3962600,aesmd.communication@aes.com,
52(B2/2021)-111(B1/2021),0310631333,Chưa niêm yết,18bis/9 Nguyễn Thị Minh Khai-Phường Đa Kao- Quận 1-TP. Hồ Chí Minh,08-39101913,08-39106396,contact@sangpharma.com,
50(B2/2021)-108(B1/2021),0301179079,EIB,"Tầng 8 - Vincom Center, 72 Lê Thánh Tôn - Quận 1 - TP Hồ Chí Minh",1800 1199,028-38216913,website@eximbank.com.vn,
53(B2/2021)-112(B1/2021),3700255880,Chưa niêm yết,"Số 5, Đường số 5 - KCN Sóng Thần 1 - Thị xã Dĩ An - Huyện Dĩ An - Tỉnh Bình Dương",0274-3732575,0274-3790420,info@tondonga.com.vn,
54(B2/2021)-113(B1/2021),0101778163,FOX,"Tầng 2, Tòa nhà FPT Cầu Giấy - Phố Duy Tân - Phường Dịch Vọng Hậu - Quận Cầu Giấy - TP. Hà Nội",024-73002222,024-37950047,hotrokhachhang@fpt.com.vn,
114(B1/2021),0300808687,Chưa niêm yết,"Lô II-3, Đường số 11, KCN Tân Bình - Phường Tây Thạnh - Quận Tân Phú - TP. Hồ Chí Minh",028-38154064 / 38150969,028-38154067,acecookvietnam@vnn.vn,
115(B1/2021),0101527385,Chưa niêm yết,35 Hai Bà Trưng-Phường Tràng Tiền-Quận Hoàn Kiếm-TP. Hà Nội,024-38262774-38262614,024-38257188,bvvn@baoviet.com.vn,
120(B1/2021),3600234534,Chưa niêm yết,Đường số 9 - KCN Biên Hòa 1 - Phường An Bình - TP. Biên Hòa - Tỉnh Đồng Nai,0251-3836404,0251-3836146,webconco@conco.com.vn,
121(B1/2021),0100104595,MVN,"Tòa nhà Ocean Park, Số1 Đào Duy Anh - Phường Phương Mai - Quận Đống Đa - TP. Hà Nội",024-35770825,024-35770850,info@vimc.co,
119(B1/2021),0104831030,Chưa niêm yết,Số 01 phố Giang Văn Minh - Phường Kim Mã - Quận Ba Đình - TP. Hà Nội,024-62661399,024-62661205,viettelimex@viettel.com.vn ; hotro@viettelstore.vn,
122(B1/2021),3700306630,Chưa niêm yết,"Số 16-18-20, Đường ĐT 743, KCN Sóng Thần 2 - Thị trấn Dĩ An - Huyện Dĩ An - Tỉnh Bình Dương",0274-3790811,0274-3790810,services@upvn.com.vn,
57(B2/2021)-118(B1/2021),0302158498,HBC,235 Võ Thị Sáu - Phường 7 - Quận 3 - TP. Hồ Chí Minh,028-39325030,028-39302097,info@hbcr.vn,
55(B2/2021)-116(B1/2021),0301444753,NVL,313B-315 Nam Kỳ Khởi Nghĩa - Phường 07 - Quận 3 - TP. Hồ Chí Minh,028-39153666,028-39153888,info@novaland.com.vn,
58(B2/2021)-123(B1/2021),0300381564,CAV,"Tầng 5, 6 số 30-32 Yersin, phường Nguyễn Thái Bình, quận 1, TP HCM",028-38299443,028-38299437,cadivi@cadivi.com.vn,
56(B2/2021)-117(B1/2021),3700477019,NKG,"Lô A1, Đường Đ2, KCN Đồng An 2 - Phường Hòa Phú - TP. Thủ Dầu Một - Tỉnh Bình Dương",0274-3748848,0274-3748868,info@namkimgroup.vn,
124(B1/2021),1100598642,Chưa niêm yết,Xã Nhựt Chánh - Huyện Bến Lức - Tỉnh Long An,0272-3632881 / 35205579,0272-3633374 / 38234333,webinfo@greenfeed.com.vn,
62(B2/2021)-131(B1/2021),3700321364,POM,Đường 27 KCN Sóng Thần 2 - Thị trấn Dĩ An - Huyện Dĩ An - Tỉnh Bình Dương,0650-3710051,0650-3740862,pominasteel@hcm.vnn.vn,
59(B2/2021)-126(B1/2021),0100233223,Chưa niêm yết,Số 2A Phạm Sư Mạnh - Phường Phan Chu Trinh - Quận Hoàn Kiếm - TP. Hà Nội,024-39721776,024-39721775,info@ttgroup.com.vn,
130(B1/2021),0311638525,ACV,"Tòa nhà Tổng công ty Cảng hàng không Việt Nam, 58 Trường Sơn - Phường 2 - Quận Tân Bình - TP. Hồ Chí Minh",028-38485383,028-38445127,vptct@vietnamairport.vn,
125(B1/2021),3700146458,Chưa niêm yết,Số 63 Đường Yersin - Phường Hiệp Thành - TP. Thủ Dầu Một - Tỉnh Bình Dương,0274-3829534/3829535,0274-3824112,thalexim@hcm.vnn.vn,
61(B2/2021)-129(B1/2021),2900325526,BAB,117 Quang Trung - Phường Quang Trung - TP. Vinh - Tỉnh Nghệ An,0238-3844277,0238-3841757,bacabank_congbothongtin@baca-bank.vn,
128(B1/2021),0300100037,Chưa niêm yết,275B Phạm Ngũ Lão - Phường Phạm Ngũ Lão - Quận 1 - TP. Hồ Chí Minh,028-38368735,028-38369327,contact@satra.com.vn,
60(B2/2021)-127(B1/2021),2300105790,DBC,35 Đường Lý Thái Tổ - TP. Bắc Ninh - Tỉnh Bắc Ninh,0222-3895111 / 3826077,0222-3896095,contact@dabaco.com.vn,
