,Xếp hạng VNR500,Mã số thuế,Mã chứng khoán,Trụ sở chính,Tel,Fax,E-mail,Website,url
20,15(B2/2021)-37(B1/2021),1800278630,SHB,77 Trần Hưng Đạo - Phường Trần Hưng Đạo - Quận Hoàn Kiếm - TP. Hà Nội,024-39423388,024-39410944,shbank@shb.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SHB
21,44(B1/2021),300583659,SAB,Số 187 Nguyễn Chí Thanh - Phường 12 - Quận 5 - TP. Hồ Chí Minh,028-38296342,028-38296856,sabeco@sabeco.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SAB
22,16(B2/2021)-42(B1/2021),101248141,FPT,"Tòa nhà FPT Cầu Giấy, Số 17 phố Duy Tân - Phường Dịch Vọng Hậu - Quận Cầu Giấy - TP. Hà Nội",024-73007300,024-37687410,fptnews@fpt.com.vn / ir@fpt.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=FPT
23,18(B2/2021)-50(B1/2021),300608092,HDB,25Bis Nguyễn Thị Minh Khai - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh,028-62915916,028-62915900,info@hdbank.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=HDB
24,17(B2/2021)-46(B1/2021),3700381324,HSG,183 Nguyễn Văn Trỗi - Phường 10 - Quận Phú Nhuận - TP Hồ Chí Minh,028-39990111,,sales@hoasengroup.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=HSG
25,43(B1/2021),102276173,POW,"Tầng 8-9 Tòa nhà VPI, Số 173 Trung Kính - Phường Trung Kính - Quận Cầu Giấy - TP. Hà Nội",024-22210288,024-22210388,info@pv-power.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=POW
26,47(B1/2021),1800590430,GE2,Số 01 Lê Hồng Phong - Phường Trà Nóc - Quận Bình Thuỷ - TP. Cần Thơ,0292-2461507,0292-2227446,evngenco2@gmail.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=GE2
27,19(B2/2021)-52(B1/2021),302017440,MCH,"Tầng 12, Tòa nhà Mplaza Saigon, Số 39 Lê Duẩn - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",028-62555660,028-38109463,danielle@msn.masangroup.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=MCH
28,49(B1/2021),301266564,GVR,236 Nam Kỳ Khởi Nghĩa - Phường 06 - Quận 3 - TP. Hồ Chí Minh,028-39325234,028-39327341,vrg@rubbergroup.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=GVR
29,59(B1/2021),102409426,VGI,"Tầng 39,40 Keangnam Hanoi Landmark Tower, Khu E6 KĐT mới Cầu - Phường Mễ Trì - Quận Nam Từ Liêm - Hà Nội",024-62626868,024-62568686,,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VGI
30,20(B2/2021)-57(B1/2021),102325399,VJC,302/3 phố Kim Mã - Phường Ngọc Khánh - Quận Ba Đình - TP. Hà Nội,024-71086668,024-37281838,info@vietjetair.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VJC
31,56(B1/2021),100150577,PVS,Lầu 5 - PetroVietnam Tower - số 1-5 Lê Duẩn - Quận 1 - TP. Hồ Chí Minh,028-39102828,028-39102929,ptsc@ptsc.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PVS
32,21(B2/2021)-58(B1/2021),100233488,VIB,"Tầng 1 (tầng trệt) và tầng 2, Tòa nhà Sailing Tower, số 111A Pasteur, Phường Bến Nghé, Quận 1, TP. HCM, Việt Nam",(84-4) 6 276 0068,(84-4) 6 276 0069,vib@vib.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VIB
33,24(B2/2021)-64(B1/2021),6300048638,LPB,"Tòa nhà Thaiholdings Tower, Số 210 đường Trần Quang Khải - Phường Tràng Tiền - Quận Hoàn Kiếm - TP. Hà Nội",024-62668668,024-62669669,dichvukhachhang@lienvietpostbank.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=LPB
34,25(B2/2021)-65(B1/2021),102683813,FLC,"Tầng 5, Tòa nhà FLC Land Mark Tower Đường Lê Đức Thọ-Phường Mỹ Đình 2-Quận Nam Từ Liêm-TP. Hà Nội",024-37711111,024-37245888,info@flc.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=FLC
35,26(B2/2021)-66(B1/2021),100100512,GEX,GELEX Tower - 52 Lê Đại Hành - Phường Lê Đại Hành - Quận Hai Bà Trưng - TP. Hà Nội,024-39726245 / 46,024-39726282,gelex@gelex.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=GEX
36,27(B2/2021)-68(B1/2021),102744865,TPB,"Tòa nhà TPBank, Số 57 Lý Thường Kiệt - Phường Trần Hưng Đạo - Quận Hoàn Kiếm - TP. Hà Nội",024-37688998,024-37688979,info@tpb.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=TPB
37,30(B2/2021)-73(B1/2021),300521758,PNJ,170E Phan Đăng Lưu - Phường 3 - Quận Phú Nhuận - TP. Hồ Chí Minh,028-39951703,028-39951702,pnj@pnj.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PNJ
38,76(B1/2021),104093672,VTP,Số 1 Giang Văn Minh - Phường Kim Mã - Quận Ba Đình - TP. Hà Nội,024-62660306,024-69522490,cskh@viettelpost.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VTP
39,35(B2/2021)-82(B1/2021),301154821,SVC,66B - 68 Nam Kỳ Khởi Nghĩa - Phường Nguyễn Thái Bình - Quận 1 - TP. Hồ Chí Minh,028-38213913,028-38215993,savico@savico.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SVC
40,36(B2/2021)-84(B1/2021),303522206,SMC,Số 396 Ung Văn Khiêm - Phường 25 - Quận Bình Thạnh - TP. Hồ Chí Minh,028-38992299,028-38980909,smc@smc.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SMC
41,37(B2/2021)-86(B1/2021),3900244389,SBT,Xã Tân Hưng - Huyện Tân Châu - Tỉnh Tây Ninh,0276-3753250,0276-3839834,ttcs@ttcsugar.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SBT
42,40(B2/2021)-91(B1/2021),311609355,FRT,Số 261-263 Khánh Hội - Phường 5 - Quận 4 - TP. Hồ Chí Minh,028-73023456,028-39435773,investor@frt.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=FRT
43,43(B2/2021)-95(B1/2021),2000393273,MPC,KCN Phường 8 - Phường 8 - TP. Cà Mau - Tỉnh Cà Mau,0290-3839391,0290-3668795,minhphu@minhphu.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=MPC
44,45(B2/2021)-101(B1/2021),300452060,PET,"Lầu 6, Tòa nhà Petrovietnam, Số 1-5 Lê Duẩn - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",028-39117777,028-39116789,info@petrosetco.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PET
45,41(B2/2021)-92(B1/2021),303443233,CTD,236/6 Điện Biên Phủ-Phường 17-Quận Bình Thạnh-TP. Hồ Chí Minh,028-35142255/35142266,028-35142277,contact@coteccons.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=CTD
46,48(B2/2021)-105(B1/2021),302861742,DWG,"Tầng 8, Tòa nhà Ngân hàng Nam Á, 201-203 Cách Mạng Tháng 8 - Phường 4 - Quận 3 - TP. Hồ Chí Minh",028-39290059,028-39290060,comms@dgw.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DWG
47,46(B2/2021)-103(B1/2021),200124891,MSB,Số 54A Nguyễn Chí Thanh - Phường Láng Thượng - Quận Đống Đa - TP. Hà Nội,024-37718989,024-37718899,msb@msb.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=MSB
48,107(B1/2021),101057919,PVF,Số 22 Ngô Quyền - Phường Tràng Tiền - Quận Hoàn Kiếm - TP. Hà Nội,024-39426800,024-39426796 / 39426797,pvb@pvcombank.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PVF
49,49(B2/2021)-106(B1/2021),200253985,SSB,198 Trần Quang Khải - Phường Lý Thái Tổ  - Quận Hoàn Kiếm - TP. Hà Nội,024-39448688,024-39448689,contact@seabank.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SSB
50,50(B2/2021)-108(B1/2021),301179079,EIB,"Tầng 8 - Vincom Center, 72 Lê Thánh Tôn - Quận 1 - TP Hồ Chí Minh",1800 1199,028-38216913,website@eximbank.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=EIB
51,54(B2/2021)-113(B1/2021),101778163,FOX,"Tầng 2, Tòa nhà FPT Cầu Giấy - Phố Duy Tân - Phường Dịch Vọng Hậu - Quận Cầu Giấy - TP. Hà Nội",024-73002222,024-37950047,hotrokhachhang@fpt.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=FOX
52,121(B1/2021),100104595,MVN,"Tòa nhà Ocean Park, Số1 Đào Duy Anh - Phường Phương Mai - Quận Đống Đa - TP. Hà Nội",024-35770825,024-35770850,info@vimc.co,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=MVN
53,57(B2/2021)-118(B1/2021),302158498,HBC,235 Võ Thị Sáu - Phường 7 - Quận 3 - TP. Hồ Chí Minh,028-39325030,028-39302097,info@hbcr.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=HBC
54,55(B2/2021)-116(B1/2021),301444753,NVL,313B-315 Nam Kỳ Khởi Nghĩa - Phường 07 - Quận 3 - TP. Hồ Chí Minh,028-39153666,028-39153888,info@novaland.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=NVL
55,58(B2/2021)-123(B1/2021),300381564,CAV,"Tầng 5, 6 số 30-32 Yersin, phường Nguyễn Thái Bình, quận 1, TP HCM",028-38299443,028-38299437,cadivi@cadivi.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=CAV
56,56(B2/2021)-117(B1/2021),3700477019,NKG,"Lô A1, Đường Đ2, KCN Đồng An 2 - Phường Hòa Phú - TP. Thủ Dầu Một - Tỉnh Bình Dương",0274-3748848,0274-3748868,info@namkimgroup.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=NKG
57,62(B2/2021)-131(B1/2021),3700321364,POM,Đường 27 KCN Sóng Thần 2 - Thị trấn Dĩ An - Huyện Dĩ An - Tỉnh Bình Dương,0650-3710051,0650-3740862,pominasteel@hcm.vnn.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=POM
58,130(B1/2021),311638525,ACV,"Tòa nhà Tổng công ty Cảng hàng không Việt Nam, 58 Trường Sơn - Phường 2 - Quận Tân Bình - TP. Hồ Chí Minh",028-38485383,028-38445127,vptct@vietnamairport.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=ACV
59,61(B2/2021)-129(B1/2021),2900325526,BAB,117 Quang Trung - Phường Quang Trung - TP. Vinh - Tỉnh Nghệ An,0238-3844277,0238-3841757,bacabank_congbothongtin@baca-bank.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=BAB
60,60(B2/2021)-127(B1/2021),2300105790,DBC,35 Đường Lý Thái Tổ - TP. Bắc Ninh - Tỉnh Bắc Ninh,0222-3895111 / 3826077,0222-3896095,contact@dabaco.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DBC
61,63(B2/2021)-132(B1/2021),100151161,PVI,"Tòa nhà PVI, 168 Trần Thái Tông - Quận Cầu Giấy - TP. Hà Nội",024-37342299,024-37342929,contact@pvi.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PVI
62,68(B2/2021)-139(B1/2021),302336158,VGP,Số 1 Nguyễn Văn Quỳ - Phường Phú Thuận - Quận 7 - TP. Hồ Chí Minh,028-7731120 / 7731121,028-8733342,vegeportjco@vnn.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VGP
63,67(B2/2021)-137(B1/2021),100108173,VGC,Tầng 16-17 Tòa nhà Viglacera-Số 1 Đại lộ Thăng Long-Phường Mễ Trì-Quận Nam Từ Liêm-TP. Hà Nội,024-35536660,024-35536671,info@viglacera.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VGC
64,69(B2/2021)-141(B1/2021),309966889,MSR,"Phòng 802, Tầng 8, Tòa Nhà Central Plaza, Số 17 Lê Duẩn-Quận 1-TP. Hồ Chí Minh",0243-7182490,0243-7182491,media@mht.masangroup.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=MSR
65,72(B2/2021)-145(B1/2021),301472704,PAN,"Tầng 15, Tòa nhà ICON4, 243A Đê La Thành - Quận Đống Đa - TP. Hà Nội",024-37606190,,info@thepangroup.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PAN
66,74(B2/2021)-147(B1/2021),801210129,APH,"Lô CN11+CN12, cụm CN An Đồng - Thị trấn Nam Sách - Huyện Nam Sách - Tỉnh Hải Dương",024-32061199,,anphat@anphatholdings.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=APH
67,155(B1/2021),301446422,HT1,360 Bến Chương Dương-Phường Cầu Kho-Quận 1-TP. Hồ Chí Minh,028-38368363,028-38261278,hatien1@hatien1.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=HT1
68,76(B2/2021)-150(B1/2021),100105616,VCG,Tòa nhà Vinaconex - 34 Láng Hạ - Quận Đống Đa - TP. Hà Nội,024-62849234,024-62849208,info@vinaconex.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VCG
69,77(B2/2021)-151(B1/2021),302705302,KDC,138 - 142 Hai Bà Trưng - Phường Đa Kao - Quận 1 - TP. Hồ Chí Minh,028-38270468,028-38270469,info@kdc.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=KDC
70,75(B2/2021)-148(B1/2021),105850244,VRE,"Số 7, Đường Bằng Lăng 1 - KĐT Sinh Thái Vinhomes Riverside - Phường Việt Hưng - Quận Long Biên - TP. Hà Nội",024-39749999,024-39748888,ir@vincom.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VRE
71,159(B1/2021),303165480,DPM,Lầu 7 - Tòa nhà PVFCCo - Số 43 Mạc Đĩnh Chi - Phường Đa Kao - Quận 1 - TP. Hồ Chí Minh,028-38256258,028-38256269,lienhe@pvfcco.com.vn; contact@pvfcco.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DPM
72,163(B1/2021),101376672,BHN,183 Hoàng Hoa Thám - Phường Ngọc Hà - Quận Ba Đình - TP. Hà Nội,024-38453843,024-37223784,habeco@habeco.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=BHN
73,82(B2/2021)-157(B1/2021),305482862,PSD,"Tòa nhà PetroVietnam, Số 1-5 Lê Duẩn - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",028-39115578,028-39115579,info@psd.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PSD
74,166(B1/2021),2001012298,DCM,Lô D - Khu Công nghiệp Phường 1 - Đường Ngô Quyền - Phường 1 - TP. Cà Mau - Tỉnh Cà Mau,0290-3819000,0290-3590501,info@pvcfc.com.vn / contact@pvcfc.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DCM
75,86(B2/2021)-167(B1/2021),1600192619,LTG,23 Hà Hoàng Hổ - Phường Mỹ Xuyên - TP. Long Xuyên - Tỉnh An Giang,0296-3841299,0296-3841327,loctroi@loctroi.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=LTG
76,168(B1/2021),302743192,PVT,Tầng 2 Tòa nhà PVFCCo - 43 Mạc Đĩnh Chi - Phường Đakao - Quận 1 - TP. Hồ Chí Minh,028-39111301,028-39111300,info@pvtrans.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PVT
77,88(B2/2021)-170(B1/2021),3600283394,TID,96 Hà Huy Giáp - Phường Quyết Thắng - TP. Biên Hòa - Tỉnh Đồng Nai,0251-3822486,0251-3823747,info@tinnghiacorp.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=TID
78,171(B1/2021),304998686,PGD,Tầng 7 - Tòa nhà PV Gas Tower - Số 673 đường Nguyễn Hữu Thọ - Xã Phước Kiến - Huyện Nhà Bè - TP. Hồ Chí Minh,028-37840445,028-37840446,info@pvgasd.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PGD
79,87(B2/2021)-169(B1/2021),800373586,AAA,"Lô CN 11-CN 12, Cụm Công nghiệp An Đồng - Thị trấn Nam Sách - Huyện Nam Sách - Tỉnh Hải Dương",0220-3755997,0220-3755113,anphat@anphatplastic.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=AAA
80,89(B2/2021)-172(B1/2021),1400112623,VHC,Quốc Lộ 30 - Phường 11 - TP. Cao Lãnh - Tỉnh Đồng Tháp,0277-3891166,0277-3891062,info@vinhhoan.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VHC
81,91(B2/2021)-177(B1/2021),301429113,CC1,"Tầng 9, Tòa nhà Sailing Tower, 111A Pasteur - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",028-38222059,028-38290500,info@cc1jsc.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=CC1
82,94(B2/2021)-182(B1/2021),302483177,CII,3A Nguyễn Văn Thủ - Phường Đa Kao - Quận 1 - TP. Hồ Chí Minh,028-36221025,028-36367100,info@cii.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=CII
83,183(B1/2021),3700145020,BCM,Số 8 Hùng Vương - Phường Hòa Phú - TP. Thủ Dầu Một - Tỉnh Bình Dương,0274-3822655,0274-3822713,info@becamex.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=BCM
84,97(B2/2021)-186(B1/2021),4300205943,QNS,02 Nguyễn Chí Thanh - KCN Quảng Phú - Phường Quảng Phú - TP. Quảng Ngãi - Tỉnh Quảng Ngãi,0255-3726110 / 3726111,0255-3822843,info@qns.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=QNS
85,98(B2/2021)-187(B1/2021),2500267703,VGS,KCN Bình Xuyên - Xã Đạo Đức - Huyện Bình Xuyên - Tỉnh Vĩnh Phúc,0211-3887863,0211-3887912,vgpipe@hn.vnn.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VGS
86,95(B2/2021)-184(B1/2021),100100745,PC1,"Tòa CT2, Số 583 Đường Nguyễn Trãi - Quận Thanh Xuân - TP. Hà Nội",024-38456329,024-38231997,info@pcc1.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=PC1
87,195(B1/2021),100105870,SJG,"Tòa nhà Sông Đà, 493 Nguyễn Trãi - Phường Thanh Xuân Nam - Quận Thanh Xuân - TP. Hà Nội",024-38541164 / 38541160,024-38541161,tctsd@songda.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SJG
88,100(B2/2021)-193(B1/2021),1700169765,NVB,Số 28C-28D Bà Triệu - Phường Hàng Bài - Quận Hoàn Kiếm - TP. Hà Nội,024-62693355,024-62693535,callcenter@ncb-bank.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=NVB
89,192(B1/2021),104753865,CTR,Số 06 Phạm Văn Bạch - Phường Yên Hòa - Quận Cầu Giấy - TP. Hà Nội,024-62751783,024-62751783,congtrinhviettel@viettel.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=CTR
90,101(B2/2021)-194(B1/2021),302963695,VAB,"Tòa nhà Samsora Premier, số 105 Chu Văn An, Phường Yết Kiêu, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",024-39333636,024-39336426,phongqhcc@vietabank.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VAB
91,99(B2/2021)-191(B1/2021),303141296,IDI,"Quốc lộ 80, Cụm CN Vàm Cống - Ấp An Thạnh - Xã Bình Thành - Huyện Lấp Vò - Tỉnh Đồng Tháp",0277-3680383,0277-3680382,idiseafood@vnn.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=IDI
92,103(B2/2021)-198(B1/2021),2200269805,VBB,47 Trần Hưng Đạo - Phường 3 - TP. Sóc Trăng - Tỉnh Sóc Trăng,0299-3886666,0299-3615666,vietbank@vietbank.com.vn,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VBB
93,203(B1/2021),3600897316,NT2,Trung tâm Điện lực dầu khí - Xã Phước Khánh - Huyện Nhơn Trạch - Tỉnh Đồng Nai,0251-2225899,0251-2225897,info@pvpnt2.com,,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=NT2
