,Công ty 1,Thông tin hoá đơn,Công ty 2,Mã số thuế,Địa chỉ,Người đại diện,Điện thoại,Ngày hoạt động,Quản lý bởi,Loại hình DN,Tình trạng,Ngành nghề kinh doanh,Tên quốc tế,Tên viết tắt
156,3400353541 - DOANH NGHIỆP TƯ NHÂN KHÁCH SẠN TÂY HỒ,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN VÀ BAO BÌ BÌNH THUẬN.,3400172739 - CÔNG TY CỔ PHẦN IN VÀ BAO BÌ BÌNH THUẬN,3400172739,"77 Võ Thị Sáu, Phường Bình Hưng, Thành phố Phan Thiết, Tỉnh Bình Thuận, Việt Nam",NGUYỄN HOÀI VINH,0252 3830523 - 0252,2006-03-29,Cục Thuế Tỉnh Bình Thuận,,,In ấn,Binh Thuan Printing And Packing Joint Stock Company,BIPACO
157,3400281495 - DNTN SẢN XUẤT CHẾ BIẾN NƯỚC MẮM TÂM PHƯƠNG,,,,,,,,,,,,,
158,3400627873 - CÔNG TY CP MUỐI VÀ XÂY DỰNG BÌNH THUẬN,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY TNHH IN BAO BÌ PHI VŨ.,3400432761 - CÔNG TY TNHH IN BAO BÌ PHI VŨ,3400432761,"81 Phạm Thị Ngư, Thôn Xuân Hoà, Xã Phong Nẫm, Thành phố Phan Thiết, Tỉnh Bình Thuận, Việt Nam",KHA KHẮC SÁNG,02523838910,2005-06-13,Chi cục Thuế Thành phố Phan Thiết,,,In ấn,,CÔNG TY IN BAO BÌ PHI VŨ
159,3400372142 - DOANH NGHIỆP TƯ NHÂN THANH THÙY 2,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH GIẤY VI TÍNH LIÊN SƠN TẠI ĐỒNG NAI.,0301452923 - VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH GIẤY VI TÍNH LIÊN SƠN TẠI ĐỒNG NAI,0301452923,"139, KP 3, đường Cách mạng tháng 8, Phường Hòa Bình, Thành phố Biên Hoà, Tỉnh Đồng Nai, Việt Nam","NGUYỄN THỊ BA
Ngoài ra NGUYỄN THỊ BA còn đại diện các doanh nghiệp:
NHÀ MÁY GIẤY VI TÍNH LIÊN SƠN
CHI NHÁNH CÔNG TY TNHH GIẤY VI TÍNH LIÊN SƠN - NHÀ MÁY GIẤY LIÊN SƠN HIỆP PHƯỚC
VPĐD CTY TNHH GIẤY VI TÍNH LIÊN SƠN TẠI ĐỒNG NAI",(028) 3 9100 555,2009-09-01,Cục Thuế Thành phố Hồ Chí Minh,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Sản xuất các sản phẩm khác từ giấy và bìa chưa được phân vào đâu,,
160,3400327319 - DOANH NGHIỆP TƯ NHÂN ĐẶNG NGỌC SƠN,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN VÀ BAO BÌ BÌNH THUẬN.,3400172739 - CÔNG TY CỔ PHẦN IN VÀ BAO BÌ BÌNH THUẬN,3400172739,"77 Võ Thị Sáu, Phường Bình Hưng, Thành phố Phan Thiết, Tỉnh Bình Thuận, Việt Nam",NGUYỄN HOÀI VINH,0252 3830523 - 0252,2006-03-29,Cục Thuế Tỉnh Bình Thuận,,,In ấn,Binh Thuan Printing And Packing Joint Stock Company,BIPACO
161,3400307111 - DOANH NGHIỆP TN XĂNG DẦU DUY THÀNH,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN BKAV.,0101360697 - CÔNG TY CỔ PHẦN BKAV,0101360697,"Tầng 2, tòa nhà HH1-khu đô thị Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","NGUYỄN TỬ QUẢNG
Ngoài ra NGUYỄN TỬ QUẢNG còn đại diện các doanh nghiệp:
CÔNG TY CP PHẦN MỀM DIỆT VIRUS BKAV",Bị ẩn theo yêu cầu người dùng,2003-04-17,Chi cục Thuế Quận Cầu Giấy,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Lập trình máy vi tính,BKAV CORPORATION,
162,3400507946 - DOANH NGHIỆP TƯ NHÂN KHÁCH SẠN HIẾU NAM,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN VÀ BAO BÌ BÌNH THUẬN.,3400172739 - CÔNG TY CỔ PHẦN IN VÀ BAO BÌ BÌNH THUẬN,3400172739,"77 Võ Thị Sáu, Phường Bình Hưng, Thành phố Phan Thiết, Tỉnh Bình Thuận, Việt Nam",NGUYỄN HOÀI VINH,0252 3830523 - 0252,2006-03-29,Cục Thuế Tỉnh Bình Thuận,,,In ấn,Binh Thuan Printing And Packing Joint Stock Company,BIPACO
163,3400794987 - CÔNG TY TNHH ĐIỆN TỬ NGHIÊM,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY TNHH SX - TM SỨC TRẺ.,3400727684 - CÔNG TY TNHH SX - TM SỨC TRẺ,3400727684,"Số B17 Khu dân cư Văn Thánh II, Phường Phú Tài, Thành phố Phan Thiết, Tỉnh Bình Thuận, Việt Nam",HÀ TẤN PHÁT,02523757579,2009-11-09,Chi cục Thuế Thành phố Phan Thiết,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,,
164,3400463664 - CÔNG TY TNHH TMDV XÂY DỰNG LÂM NGA,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN VÀ BAO BÌ BÌNH THUẬN.,3400172739 - CÔNG TY CỔ PHẦN IN VÀ BAO BÌ BÌNH THUẬN,3400172739,"77 Võ Thị Sáu, Phường Bình Hưng, Thành phố Phan Thiết, Tỉnh Bình Thuận, Việt Nam",NGUYỄN HOÀI VINH,0252 3830523 - 0252,2006-03-29,Cục Thuế Tỉnh Bình Thuận,,,In ấn,Binh Thuan Printing And Packing Joint Stock Company,BIPACO
165,3400870613 - CÔNG TY TNHH TM DV ĐIỆN NƯỚC ĐỨC TÍN,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY TNHH SX - TM SỨC TRẺ.,3400727684 - CÔNG TY TNHH SX - TM SỨC TRẺ,3400727684,"Số B17 Khu dân cư Văn Thánh II, Phường Phú Tài, Thành phố Phan Thiết, Tỉnh Bình Thuận, Việt Nam",HÀ TẤN PHÁT,02523757579,2009-11-09,Chi cục Thuế Thành phố Phan Thiết,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,,
166,3400165650 - DOANH NGHIỆP TƯ NHÂN SẢN XUẤT NƯỚC ĐÁ HIỆP LỰC,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY TNHH SX - TM SỨC TRẺ.,3400727684 - CÔNG TY TNHH SX - TM SỨC TRẺ,3400727684,"Số B17 Khu dân cư Văn Thánh II, Phường Phú Tài, Thành phố Phan Thiết, Tỉnh Bình Thuận, Việt Nam",HÀ TẤN PHÁT,02523757579,2009-11-09,Chi cục Thuế Thành phố Phan Thiết,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,,
167,3401045885 - DOANH NGHIỆP TN TIỆM VÀNG HÒA MINH,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH).,0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),0106869738,"Tòa nhà VNPT, số 57 phố Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","NGUYỄN TRƯỜNG GIANG
Ngoài ra NGUYỄN TRƯỜNG GIANG còn đại diện các doanh nghiệp:
TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG",84 - 2433992288,2015-06-11,Cục thuế Doanh nghiệp lớn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn thiết bị và linh kiện điện tử, viễn thông",VNPT VINAPHONE CORPORATION,VNPT - VINAPHONE
168,3400182286 - CÔNG TY TNHH THUỐC LÁ MAI TRANG,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN PHÁT TRIỂN PHẦN MỀM ASIA.,0101162173 - CÔNG TY CỔ PHẦN PHÁT TRIỂN PHẦN MỀM ASIA,0101162173,"Số 6 phố Vũ Ngọc Phan, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",NGUYỄN THÁI TRANG,7761663,2001-07-30,Chi cục Thuế Quận Đống đa,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm",ASIA SOFTWARE DEVELOPMENT JOINT STOCK COMPANY,ASIA JSC
169,3400269949 - CÔNG TY TNHH VLXD BẠCH YẾN,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY TNHH SX - TM SỨC TRẺ.,3400727684 - CÔNG TY TNHH SX - TM SỨC TRẺ,3400727684,"Số B17 Khu dân cư Văn Thánh II, Phường Phú Tài, Thành phố Phan Thiết, Tỉnh Bình Thuận, Việt Nam",HÀ TẤN PHÁT,02523757579,2009-11-09,Chi cục Thuế Thành phố Phan Thiết,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,,
