,Công ty 1,Thông tin hoá đơn,Công ty 2,Tên quốc tế,Mã số thuế,Địa chỉ,Người đại diện,Điện thoại,Ngày hoạt động,Quản lý bởi,Loại hình DN,Tình trạng,Ngành nghề kinh doanh,Tên viết tắt
10,4001005738 - CÔNG TY CP DU LỊCH PHÚ HOÀNG,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CP IN - PHÁT HÀNH SÁCH VÀ THIẾT BỊ TRƯỜNG HỌC QUẢNG NAM.,4000101277 - CÔNG TY CP IN - PHÁT HÀNH SÁCH VÀ THIẾT BỊ TRƯỜNG HỌC QUẢNG NAM,QUANG NAM PRINTING - DISTRIBUTION OF BOOKS AND SCHOOL EQUIPMENT JOINT STOCK COMPANY,4000101277,"260 Hùng Vương, Phường An Xuân, Thành phố Tam Kỳ, Tỉnh Quảng Nam, Việt Nam","NGUYỄN THỊ LỆ HUYỀN
Ngoài ra NGUYỄN THỊ LỆ HUYỀN còn đại diện các doanh nghiệp:
CÔNG TY CP IN - PHÁT HÀNH SÁCH VÀ THIẾT BỊ TRƯỜNG HỌC QUẢNG NAM",05103824881,2007-04-11,Cục Thuế Tỉnh Quảng Nam,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,CÔNG TY CP IN - PHS & TBTH QUẢNG NAM
11,2200723264 - CHI NHÁNH CÔNG TY CP TĐ MAI LINH TẠI SÓC TRĂNG,,,,,,,,,,,,,
12,8048671667 - PHÙNG QUỐC VIỆT (HKD MCP SHOP),,,,,,,,,,,,,
13,8034581999 - Trần Thái Diễm Kiều (CPFFEE MY,,,,,,,,,,,,,
14,8041697137 - QUẦY THUỐC 1099-ĐẠI LÝ CTCP DƯỢC ĐỒNG NAI,,,,,,,,,,,,,
15,1601944692 - CÔNG TY CỔ PHẦN GIỐNG CÂY TRỒNG ĐỒNG PHÁT AN GIANG,,,,,,,,,,,,,
16,0107922582 - Tạ Đình Bình,,,,,,,,,,,,,
17,8028846887 - Nguyễn Thị Nga,,,,,,,,,,,,,
18,8406109926 - Nguyễn Thị Duyên,,,,,,,,,,,,,
19,2900491298 - CÔNG TY CP DƯỢC - VẬT TƯ Y TẾ NGHỆ AN,,,,,,,,,,,,,
20,2901675192 - PHAN THANH HIỀN (CPHA),,,,,,,,,,,,,
21,2901659962 - HỢP TÁC XÃ CPDVNN NAM CƯỜNG,,,,,,,,,,,,,
22,2802453142 - CÔNG TY CỔ PHẦN TRUNG TUẤN PHONG,,,,,,,,,,,,,
23,2800231948 - CÔNG TY CỔ PHẦN DƯỢC - VẬT TƯ Y TẾ THANH HOÁ,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH).,0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),VNPT VINAPHONE CORPORATION,0106869738,"Tòa nhà VNPT, số 57 phố Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","NGUYỄN TRƯỜNG GIANG
Ngoài ra NGUYỄN TRƯỜNG GIANG còn đại diện các doanh nghiệp:
TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG",84 - 2433992288,2015-06-11,Cục thuế Doanh nghiệp lớn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn thiết bị và linh kiện điện tử, viễn thông",VNPT - VINAPHONE
24,5600285155 - Lo� ThiÊ Hương,,,,,,,,,,,,,
25,5100322063 - CÔNG TY TNHH SẢN XUẤT TRÀ GREEN HILL,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN BKAV.,0101360697 - CÔNG TY CỔ PHẦN BKAV,BKAV CORPORATION,0101360697,"Tầng 2, tòa nhà HH1-khu đô thị Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","NGUYỄN TỬ QUẢNG
Ngoài ra NGUYỄN TỬ QUẢNG còn đại diện các doanh nghiệp:
CÔNG TY CP PHẦN MỀM DIỆT VIRUS BKAV",Bị ẩn theo yêu cầu người dùng,2003-04-17,Chi cục Thuế Quận Cầu Giấy,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Lập trình máy vi tính,
26,5100109627 - CÔNG TY CỔ PHẦN CHÈ HÙNG AN,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN MISA.,0101243150 - CÔNG TY CỔ PHẦN MISA,MISA JOINT STOCK COMPANY,0101243150,"Tầng 9, tòa nhà Technosoft, phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY
Ngoài ra LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY còn đại diện các doanh nghiệp:
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN MISA TẠI THÀNH PHỐ BUÔN MA THUỘT TỈNH ĐẮK LẮK
CÔNG TY CỔ PHẦN MISA
MISA - KIỂM THỬ HĐĐT KHÔNG MÃ
MISA - KIỂM THỬ HĐĐT CÓ MÃ",Bị ẩn theo yêu cầu người dùng,2002-04-22,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Lập trình máy vi tính,MISA JSC
27,2600357502-011 - CÔNG TY LÂM NGHIỆP VĨNH HẢO,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH).,0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),VNPT VINAPHONE CORPORATION,0106869738,"Tòa nhà VNPT, số 57 phố Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","NGUYỄN TRƯỜNG GIANG
Ngoài ra NGUYỄN TRƯỜNG GIANG còn đại diện các doanh nghiệp:
TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG",84 - 2433992288,2015-06-11,Cục thuế Doanh nghiệp lớn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn thiết bị và linh kiện điện tử, viễn thông",VNPT - VINAPHONE
28,5100348720 - CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN HÙNG LAN BẮC QUANG,,,,,,,,,,,,,
29,5100135793 - UBND XÃ TÂN THÀNH,,,,,,,,,,,,,
30,5100231521 - HTX VẬN TẢI Ô TÔ SỐ 1,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH).,0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),VNPT VINAPHONE CORPORATION,0106869738,"Tòa nhà VNPT, số 57 phố Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","NGUYỄN TRƯỜNG GIANG
Ngoài ra NGUYỄN TRƯỜNG GIANG còn đại diện các doanh nghiệp:
TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG",84 - 2433992288,2015-06-11,Cục thuế Doanh nghiệp lớn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn thiết bị và linh kiện điện tử, viễn thông",VNPT - VINAPHONE
31,5100333724 - CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN HẢI TUẤN,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY TNHH MỘT THÀNH VIÊN IN VÀ NGHIÊN CỨU THỊ TRƯỜNG VIỆT CƯỜNG.,0101948880 - CÔNG TY TNHH MỘT THÀNH VIÊN IN VÀ NGHIÊN CỨU THỊ TRƯỜNG VIỆT CƯỜNG,VIET CUONG MARKET RESEARCH & PRINTING ONE MEMBER COMPANY LIMITED,0101948880,"Số 483, đường Nguyễn Khang, Phường Quan Hoa, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",Nguyễn Việt Cường,Bị ẩn theo yêu cầu người dùng,2006-05-19,Cục Thuế Thành phố Hà Nội,,,In ấn,"VIET CUONG MAR & PRINTING CO.,LTD"
32,5100279315 - CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN SONG ANH,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY TNHH MỘT THÀNH VIÊN IN VÀ NGHIÊN CỨU THỊ TRƯỜNG VIỆT CƯỜNG.,0101948880 - CÔNG TY TNHH MỘT THÀNH VIÊN IN VÀ NGHIÊN CỨU THỊ TRƯỜNG VIỆT CƯỜNG,VIET CUONG MARKET RESEARCH & PRINTING ONE MEMBER COMPANY LIMITED,0101948880,"Số 483, đường Nguyễn Khang, Phường Quan Hoa, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",Nguyễn Việt Cường,Bị ẩn theo yêu cầu người dùng,2006-05-19,Cục Thuế Thành phố Hà Nội,,,In ấn,"VIET CUONG MAR & PRINTING CO.,LTD"
33,5100261780 - TRƯỜNG TIỀU HỌC ĐÔNG AN,,,,,,,,,,,,,
34,5100100046 - CÔNG TY XĂNG DẦU HÀ GIANG,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH).,0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),VNPT VINAPHONE CORPORATION,0106869738,"Tòa nhà VNPT, số 57 phố Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","NGUYỄN TRƯỜNG GIANG
Ngoài ra NGUYỄN TRƯỜNG GIANG còn đại diện các doanh nghiệp:
TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG",84 - 2433992288,2015-06-11,Cục thuế Doanh nghiệp lớn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn thiết bị và linh kiện điện tử, viễn thông",VNPT - VINAPHONE
35,5100255716 - CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN VIỆT HÙNG,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY TNHH MỘT THÀNH VIÊN IN VÀ NGHIÊN CỨU THỊ TRƯỜNG VIỆT CƯỜNG.,0101948880 - CÔNG TY TNHH MỘT THÀNH VIÊN IN VÀ NGHIÊN CỨU THỊ TRƯỜNG VIỆT CƯỜNG,VIET CUONG MARKET RESEARCH & PRINTING ONE MEMBER COMPANY LIMITED,0101948880,"Số 483, đường Nguyễn Khang, Phường Quan Hoa, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",Nguyễn Việt Cường,Bị ẩn theo yêu cầu người dùng,2006-05-19,Cục Thuế Thành phố Hà Nội,,,In ấn,"VIET CUONG MAR & PRINTING CO.,LTD"
36,5100335400 - CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN THÀNH PHÚ,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH).,0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),VNPT VINAPHONE CORPORATION,0106869738,"Tòa nhà VNPT, số 57 phố Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","NGUYỄN TRƯỜNG GIANG
Ngoài ra NGUYỄN TRƯỜNG GIANG còn đại diện các doanh nghiệp:
TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG",84 - 2433992288,2015-06-11,Cục thuế Doanh nghiệp lớn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn thiết bị và linh kiện điện tử, viễn thông",VNPT - VINAPHONE
37,5100168541 - CÔNG TY TRÁCH NHIỆM HỮU HẠN XÂY DỰNG HOÀNG LỘC,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY TNHH MỘT THÀNH VIÊN IN VÀ NGHIÊN CỨU THỊ TRƯỜNG VIỆT CƯỜNG.,0101948880 - CÔNG TY TNHH MỘT THÀNH VIÊN IN VÀ NGHIÊN CỨU THỊ TRƯỜNG VIỆT CƯỜNG,VIET CUONG MARKET RESEARCH & PRINTING ONE MEMBER COMPANY LIMITED,0101948880,"Số 483, đường Nguyễn Khang, Phường Quan Hoa, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",Nguyễn Việt Cường,Bị ẩn theo yêu cầu người dùng,2006-05-19,Cục Thuế Thành phố Hà Nội,,,In ấn,"VIET CUONG MAR & PRINTING CO.,LTD"
38,5100294313 - CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN MAI NHUNG,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY TNHH MỘT THÀNH VIÊN IN VÀ NGHIÊN CỨU THỊ TRƯỜNG VIỆT CƯỜNG.,0101948880 - CÔNG TY TNHH MỘT THÀNH VIÊN IN VÀ NGHIÊN CỨU THỊ TRƯỜNG VIỆT CƯỜNG,VIET CUONG MARKET RESEARCH & PRINTING ONE MEMBER COMPANY LIMITED,0101948880,"Số 483, đường Nguyễn Khang, Phường Quan Hoa, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",Nguyễn Việt Cường,Bị ẩn theo yêu cầu người dùng,2006-05-19,Cục Thuế Thành phố Hà Nội,,,In ấn,"VIET CUONG MAR & PRINTING CO.,LTD"
39,0106884817-002 - TRUNG TÂM HẠ TẦNG MẠNG MIỀN BẮC– CHI NHÁNH TỔNG CÔNG TY HẠ TẦNG MẠNG,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH).,0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),VNPT VINAPHONE CORPORATION,0106869738,"Tòa nhà VNPT, số 57 phố Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","NGUYỄN TRƯỜNG GIANG
Ngoài ra NGUYỄN TRƯỜNG GIANG còn đại diện các doanh nghiệp:
TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG",84 - 2433992288,2015-06-11,Cục thuế Doanh nghiệp lớn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn thiết bị và linh kiện điện tử, viễn thông",VNPT - VINAPHONE
40,0100111948-158 - NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN CÔNG THƯƠNG VIỆT NAM - CHI NHÁNH CAO BẰNG,Doanh nghiệp đang sử dụng HOÁ ĐƠN TỰ IN.,,,,,,,,,,,,
41,6200078011 - PHÒNG GIAO DỊCH NGÂN HÀNG CHÍNH SÁCH XÃ HỘI HUYỆN NẬM NHÙN,,,,,,,,,,,,,
42,6200098794 - CÔNG TY TNHH MTV THƯƠNG MẠI VÀ DỊCH VỤ TUẤN HƯNG,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH).,0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),VNPT VINAPHONE CORPORATION,0106869738,"Tòa nhà VNPT, số 57 phố Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","NGUYỄN TRƯỜNG GIANG
Ngoài ra NGUYỄN TRƯỜNG GIANG còn đại diện các doanh nghiệp:
TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG",84 - 2433992288,2015-06-11,Cục thuế Doanh nghiệp lớn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn thiết bị và linh kiện điện tử, viễn thông",VNPT - VINAPHONE
43,6200067524 - HỢP TÁC XÃ NAM VIỆT,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY TNHH MỘT THÀNH VIÊN IN VÀ NGHIÊN CỨU THỊ TRƯỜNG VIỆT CƯỜNG.,0101948880 - CÔNG TY TNHH MỘT THÀNH VIÊN IN VÀ NGHIÊN CỨU THỊ TRƯỜNG VIỆT CƯỜNG,VIET CUONG MARKET RESEARCH & PRINTING ONE MEMBER COMPANY LIMITED,0101948880,"Số 483, đường Nguyễn Khang, Phường Quan Hoa, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",Nguyễn Việt Cường,Bị ẩn theo yêu cầu người dùng,2006-05-19,Cục Thuế Thành phố Hà Nội,,,In ấn,"VIET CUONG MAR & PRINTING CO.,LTD"
44,6200083727 - CÔNG TY TNHH MTV XĂNG DẦU LAI CHÂU,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH).,0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),VNPT VINAPHONE CORPORATION,0106869738,"Tòa nhà VNPT, số 57 phố Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","NGUYỄN TRƯỜNG GIANG
Ngoài ra NGUYỄN TRƯỜNG GIANG còn đại diện các doanh nghiệp:
TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG",84 - 2433992288,2015-06-11,Cục thuế Doanh nghiệp lớn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn thiết bị và linh kiện điện tử, viễn thông",VNPT - VINAPHONE
45,0100109441 - TỔNG CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG VÀ THƯƠNG MẠI VIỆT NAM,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN CÔNG NGHỆ TIN HỌC EFY VIỆT NAM.,0102519041 - CÔNG TY CỔ PHẦN CÔNG NGHỆ TIN HỌC EFY VIỆT NAM,VIET NAM EFY INFORMATICS TECHNOLOGY JOINT STOCK COMPANY,0102519041,"Tầng 9, tòa nhà Sannam, số 78 phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",HOÀNG VĂN THUẤN,02462872290,2007-11-14,Chi cục Thuế Quận Cầu Giấy,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Lập trình máy vi tính,"EFY.,JSC"
46,4700233543 - BAN QLDA ĐẦU TƯ XÂY DỰNG TỈNH BẮC KẠN,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH).,0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),VNPT VINAPHONE CORPORATION,0106869738,"Tòa nhà VNPT, số 57 phố Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","NGUYỄN TRƯỜNG GIANG
Ngoài ra NGUYỄN TRƯỜNG GIANG còn đại diện các doanh nghiệp:
TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG",84 - 2433992288,2015-06-11,Cục thuế Doanh nghiệp lớn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn thiết bị và linh kiện điện tử, viễn thông",VNPT - VINAPHONE
47,0100686174-647 - NGÂN HÀNG NÔNG NGHIỆP VÀ PHÁT TRIỂN NÔNG THÔN VIỆT NAM - CHI NHÁNH HUYỆN NA RÌ BẮC KẠN,,,,,,,,,,,,,
48,4700262689 - CÔNG TY TNHH MỘT THÀNH VIÊN QUẢN LÝ KHAI THÁC CÔNG TRÌNH THỦY LỢI BẮC KẠN,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH).,0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),VNPT VINAPHONE CORPORATION,0106869738,"Tòa nhà VNPT, số 57 phố Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","NGUYỄN TRƯỜNG GIANG
Ngoài ra NGUYỄN TRƯỜNG GIANG còn đại diện các doanh nghiệp:
TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG",84 - 2433992288,2015-06-11,Cục thuế Doanh nghiệp lớn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn thiết bị và linh kiện điện tử, viễn thông",VNPT - VINAPHONE
49,4700127714 - UBND PHƯỜNG SÔNG CẦU,,,,,,,,,,,,,
50,5100261639 - TRƯỜNG TIỂU HỌC TIÊN KIỀU,,,,,,,,,,,,,
51,5100262777 - HỘI LIÊN HIỆP PHỤ NỮ HUYỆN BẮC QUANG,,,,,,,,,,,,,
52,5100262167 - TRƯỜNG PHỔ THÔNG DÂN TỘC NỘI TRÚ CẤP II + III BẮC QUANG,,,,,,,,,,,,,
53,5100263033 - HỘI CỰU CHIẾN BINH HUYỆN BẮC QUANG,,,,,,,,,,,,,
54,5100135698 - UBND XÃ QUANG MINH,,,,,,,,,,,,,
55,5100261597 - TRƯỜNG TIỂU HỌC NGUYỄN HUỆ,,,,,,,,,,,,,
56,5100102011-002 - CHI NHÁNH CỔ PHẦN VẬT TƯ NÔNG LÂM NGHIỆP BẮC QUANG,,,,,,,,,,,,,
57,0100686174-701 - NGÂN HÀNG NÔNG NGHIỆP VÀ PHÁT TRIỂN NÔNG THÔN VIỆT NAM - CHI NHÁNH HUYỆN BẮC QUANG HÀ GIANG,Doanh nghiệp đang sử dụng HOÁ ĐƠN TỰ IN.,,,,,,,,,,,,
