,Công ty 1,Thông tin hoá đơn,Công ty 2,Tên quốc tế,Mã số thuế,Địa chỉ,Người đại diện,Điện thoại,Ngày hoạt động,Quản lý bởi,Loại hình DN,Tình trạng,Ngành nghề kinh doanh,Tên viết tắt
118,4700199349 - HẠT KIỂM LÂM HUYỆN BA BỂ,,,,,,,,,,,,,
119,4700166181 - NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CHI NHÁNH TỈNH BẮC KẠN,,,,,,,,,,,,,
120,4700189284 - CÔNG TY TNHH XÂY DỰNG 68,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN BẮC KẠN.,4700141229 - CÔNG TY CỔ PHẦN IN BẮC KẠN,BAC KAN PRINT JOINT STOCK COMPANY,4700141229,"Số 463/Tổ 11C, Phường Đức Xuân, Thành phố Bắc Kạn, Tỉnh Bắc Kạn, Việt Nam",TRIỆU THỊ GÁI,0209 3873 720,2014-07-22,Cục Thuế Tỉnh Bắc Kạn,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,"BK PRINT ,JSC."
121,4600128263-001 - CHI NHÁNH XĂNG DẦU BẮC KẠN,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH).,0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),VNPT VINAPHONE CORPORATION,0106869738,"Tòa nhà VNPT, số 57 phố Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","NGUYỄN TRƯỜNG GIANG
Ngoài ra NGUYỄN TRƯỜNG GIANG còn đại diện các doanh nghiệp:
TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG",84 - 2433992288,2015-06-11,Cục thuế Doanh nghiệp lớn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn thiết bị và linh kiện điện tử, viễn thông",VNPT - VINAPHONE
122,4700244591 - DOANH NGHIỆP TN HUYỀN NHẬT NGÂN SƠN,,,,,,,,,,,,,
123,4700236223 - BAN AN TOÀN GIAO THÔNG TỈNH BẮC KẠN,,,,,,,,,,,,,
124,3700381324-114 - CHI NHÁNH CÔNG TY CỔ PHẦN TẬP ĐOÀN HOA SEN TẠI BẮC KẠN,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN BKAV.,0101360697 - CÔNG TY CỔ PHẦN BKAV,BKAV CORPORATION,0101360697,"Tầng 2, tòa nhà HH1-khu đô thị Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","NGUYỄN TỬ QUẢNG
Ngoài ra NGUYỄN TỬ QUẢNG còn đại diện các doanh nghiệp:
CÔNG TY CP PHẦN MỀM DIỆT VIRUS BKAV",Bị ẩn theo yêu cầu người dùng,2003-04-17,Chi cục Thuế Quận Cầu Giấy,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Lập trình máy vi tính,
125,4700190466 - BAN QUẢN LÝ KHU BẢO TỒN THIÊN NHIÊN KIM HỶ,,,,,,,,,,,,,
126,4700257897 - CÔNG TY CP PHÁT TRIỂN NHÂN LỰC HÀN VIỆT NHẬT,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN BẮC KẠN.,4700141229 - CÔNG TY CỔ PHẦN IN BẮC KẠN,BAC KAN PRINT JOINT STOCK COMPANY,4700141229,"Số 463/Tổ 11C, Phường Đức Xuân, Thành phố Bắc Kạn, Tỉnh Bắc Kạn, Việt Nam",TRIỆU THỊ GÁI,0209 3873 720,2014-07-22,Cục Thuế Tỉnh Bắc Kạn,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,"BK PRINT ,JSC."
127,4700253187 - CÔNG TY CP KHOÁNG SẢN TÂY GIANG BẮC KẠN,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IDS EQUITY HOLDINGS..,0105419528 - CÔNG TY CỔ PHẦN IDS EQUITY HOLDINGS.,IDS EQUITY HOLDINGS JOINT STOCK COMPANY,0105419528,"Tầng 9 Tòa nhà Leadvisors Place 41A Lý Thái Tổ, Phường Lý Thái Tổ, Quận Hoàn Kiếm, Thành phố Hà Nội, Việt Nam","LÊ MINH THÀNH
Ngoài ra LÊ MINH THÀNH còn đại diện các doanh nghiệp:
CÔNG TY TNHH COMPLEX PHƯƠNG BẮC
CÔNG TY CỔ PHẦN GIA HÂN
CÔNG TY CỔ PHẦN 18 - 4 HÀ NỘI
CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN VIỆT BẮC
CÔNG TY CỔ PHẦN LEADVISORS IB
ĐỊA ĐIỂM KINH DOANH - CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN VIỆT BẮC
CÔNG TY CỔ PHẦN EDUCATION DEVELOPMENT OF VIET NAM
CÔNG TY CỔ PHẦN HÀ NỘI BUFFALOES
CÔNG TY TNHH MAY MẶC 18-4 HÀ NỘI
CÔNG TY CỔ PHẦN IDS PQ
CÔNG TY CỔ PHẦN NHA TRANG EDEN BAY
CÔNG TY CỔ PHẦN IDS EQUITY HOLDINGS.
CHI NHÁNH CÔNG TY CỔ PHẦN IDS EQUITY HOLDINGS.",0439428154/ 0438221,2011-07-22,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Hoạt động hỗ trợ dịch vụ tài chính chưa được phân vào đâu,IDS JSC
128,4700188996 - CÔNG TY CP SAHABAK,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN BẮC KẠN.,4700141229 - CÔNG TY CỔ PHẦN IN BẮC KẠN,BAC KAN PRINT JOINT STOCK COMPANY,4700141229,"Số 463/Tổ 11C, Phường Đức Xuân, Thành phố Bắc Kạn, Tỉnh Bắc Kạn, Việt Nam",TRIỆU THỊ GÁI,0209 3873 720,2014-07-22,Cục Thuế Tỉnh Bắc Kạn,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,"BK PRINT ,JSC."
129,4700119671-001 - BỆNH VIỆN ĐA KHOA BẮC KẠN,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY TNHH IN ĐƯỜNG SẮT.,0108096963 - CÔNG TY TNHH IN ĐƯỜNG SẮT,RAILWAYS PRINTING COMPANY LIMITED,0108096963,"Số 124+126 đường Lê Duẩn, Phường Cửa Nam, Quận Hoàn Kiếm, Thành phố Hà Nội, Việt Nam",NGUYỄN VĨNH HÀ ( sinh năm 1965 - Vĩnh Phúc) Ẩn thông tin,02439428154/ 02438,2017-12-14,Chi cục Thuế Quận Hoàn Kiếm,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,IN ĐƯỜNG SẮT
