,Công ty 1,Thông tin hoá đơn,Công ty 2,Tên quốc tế,Mã số thuế,Địa chỉ,Người đại diện,Điện thoại,Ngày hoạt động,Quản lý bởi,Loại hình DN,Tình trạng,Ngành nghề kinh doanh,Tên viết tắt
397,1500169888 - CÔNG TY CỔ PHẦN CÔNG TRÌNH CÔNG CỘNG VĨNH LONG,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN MISA.,0101243150 - CÔNG TY CỔ PHẦN MISA,MISA JOINT STOCK COMPANY,0101243150,"Tầng 9, tòa nhà Technosoft, phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY
Ngoài ra LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY còn đại diện các doanh nghiệp:
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN MISA TẠI THÀNH PHỐ BUÔN MA THUỘT TỈNH ĐẮK LẮK
CÔNG TY CỔ PHẦN MISA
MISA - KIỂM THỬ HĐĐT KHÔNG MÃ
MISA - KIỂM THỬ HĐĐT CÓ MÃ",Bị ẩn theo yêu cầu người dùng,2002-04-22,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Lập trình máy vi tính,MISA JSC
398,1500170900 - CÔNG TY CỔ PHẦN LƯƠNG THỰC THỰC PHẨM VĨNH LONG,,,,,,,,,,,,,
399,1500171982 - CÔNG TY TNHH MỘT THÀNH VIÊN XỔ SỐ KIẾN THIẾT VĨNH LONG,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH).,0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),VNPT VINAPHONE CORPORATION,0106869738,"Tòa nhà VNPT, số 57 phố Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","NGUYỄN TRƯỜNG GIANG
Ngoài ra NGUYỄN TRƯỜNG GIANG còn đại diện các doanh nghiệp:
TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG",84 - 2433992288,2015-06-11,Cục thuế Doanh nghiệp lớn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn thiết bị và linh kiện điện tử, viễn thông",VNPT - VINAPHONE
400,1500173891 - CÔNG TY CỔ PHẦN CƠ KHÍ CỬU LONG,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN MISA.,0101243150 - CÔNG TY CỔ PHẦN MISA,MISA JOINT STOCK COMPANY,0101243150,"Tầng 9, tòa nhà Technosoft, phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY
Ngoài ra LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY còn đại diện các doanh nghiệp:
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN MISA TẠI THÀNH PHỐ BUÔN MA THUỘT TỈNH ĐẮK LẮK
CÔNG TY CỔ PHẦN MISA
MISA - KIỂM THỬ HĐĐT KHÔNG MÃ
MISA - KIỂM THỬ HĐĐT CÓ MÃ",Bị ẩn theo yêu cầu người dùng,2002-04-22,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Lập trình máy vi tính,MISA JSC
401,1500174574 - CÔNG TY CỔ PHẦN ĐỊA ỐC VĨNH LONG,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN CYBERLOTUS.,0105232093 - CÔNG TY CỔ PHẦN CYBERLOTUS,CYBERLOTUS JOINT STOCK COMPANY,0105232093,"Tầng 4 tòa nhà Vinata2B, số 289 Khuất Duy Tiến, Phường Trung Hoà, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",LÊ MINH HƯNG,(024)35333355,2011-03-31,Chi cục Thuế Quận Cầu Giấy,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Lập trình máy vi tính,"CYBERLOTUS .,JSC"
402,1500174831 - CÔNG TY CỔ PHẦN CẤP NƯỚC VĨNH LONG,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN CẤP NƯỚC VĨNH LONG.,1500174831 - CÔNG TY CỔ PHẦN CẤP NƯỚC VĨNH LONG,VINH LONG WATER SUPPLY JOINT STOCK COMPANY,1500174831,"Số 02 đường Hưng Đạo Vương, Phường 1, Thành phố Vĩnh Long, Tỉnh Vĩnh Long, Việt Nam","ĐẶNG TẤN CHIẾN ( sinh năm 1965 - Bến Tre) Ẩn thông tin
Ngoài ra ĐẶNG TẤN CHIẾN còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN CẤP NƯỚC VĨNH LONG (HỢP TÁC KINH DOANH)",0703822583,2008-03-03,Cục Thuế Tỉnh Vĩnh Long,,,"Khai thác, xử lý và cung cấp nước",VWACO.
403,1500175169 - CÔNG TY CỔ PHẦN SÔNG TIỀN VĨNH LONG,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG.,1500172827 - CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG,VINH LONG NGUYEN VAN THANH PRINTING JOINT - STOCK COMPANY,1500172827,"Số 48 đường Nguyễn Huệ, Phường 2, Thành phố Vĩnh Long, Tỉnh Vĩnh Long, Việt Nam",NGUYỄN MINH TIẾN,0703823126,2009-01-20,Cục Thuế Tỉnh Vĩnh Long,,,In ấn,VNPJC
404,1500184170 - CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG CỬU LONG,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG.,1500172827 - CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG,VINH LONG NGUYEN VAN THANH PRINTING JOINT - STOCK COMPANY,1500172827,"Số 48 đường Nguyễn Huệ, Phường 2, Thành phố Vĩnh Long, Tỉnh Vĩnh Long, Việt Nam",NGUYỄN MINH TIẾN,0703823126,2009-01-20,Cục Thuế Tỉnh Vĩnh Long,,,In ấn,VNPJC
405,1500185946 - CÔNG TY TRÁCH NHIỆM HỮU HẠN SẢN XUẤT - XÂY DỰNG - THƯƠNG MẠI PHƯƠNG TƯỜNG,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG.,1500172827 - CÔNG TY CỔ PHẦN IN NGUYỄN VĂN THẢNH VĨNH LONG,VINH LONG NGUYEN VAN THANH PRINTING JOINT - STOCK COMPANY,1500172827,"Số 48 đường Nguyễn Huệ, Phường 2, Thành phố Vĩnh Long, Tỉnh Vĩnh Long, Việt Nam",NGUYỄN MINH TIẾN,0703823126,2009-01-20,Cục Thuế Tỉnh Vĩnh Long,,,In ấn,VNPJC
406,1500216753 - CÔNG TY CỔ PHẦN DU LỊCH CỬU LONG,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN MISA.,0101243150 - CÔNG TY CỔ PHẦN MISA,MISA JOINT STOCK COMPANY,0101243150,"Tầng 9, tòa nhà Technosoft, phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY
Ngoài ra LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY còn đại diện các doanh nghiệp:
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN MISA TẠI THÀNH PHỐ BUÔN MA THUỘT TỈNH ĐẮK LẮK
CÔNG TY CỔ PHẦN MISA
MISA - KIỂM THỬ HĐĐT KHÔNG MÃ
MISA - KIỂM THỬ HĐĐT CÓ MÃ",Bị ẩn theo yêu cầu người dùng,2002-04-22,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Lập trình máy vi tính,MISA JSC
407,4500606903 - CÔNG TY TNHH GIỐNG THỦY SẢN AQUA ONE,,,,,,,,,,,,,
408,0100150619-053 - NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN VIỆT NAM - CHI NHÁNH NINH THUẬN,Doanh nghiệp đang sử dụng HOÁ ĐƠN TỰ IN.,,,,,,,,,,,,
409,0100111948-080 - NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN CÔNG THƯƠNG VIỆT NAM - CHI NHÁNH NINH THUẬN,Doanh nghiệp đang sử dụng HOÁ ĐƠN TỰ IN.,,,,,,,,,,,,
410,0100686174-194 - NGÂN HÀNG NÔNG NGHIỆP VÀ PHÁT TRIỂN NÔNG THÔN VIỆT NAM - CHI NHÁNH TỈNH NINH THUẬN,Doanh nghiệp đang sử dụng HOÁ ĐƠN TỰ IN.,,,,,,,,,,,,
411,4500369593 - CÔNG TY TRÁCH NHIỆM HỮU HẠN THƯƠNG MẠI VÀ XÂY DỰNG HIẾU THẢO,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN NINH THUẬN.,4500280190 - CÔNG TY CỔ PHẦN IN NINH THUẬN,NINHTHUAN PRINTING JOINT - STOCK COMPANY.,4500280190,"Số 09 Tô Hiệu, Phường Kinh Dinh, TP. Phan Rang-Tháp Chàm, Tỉnh Ninh Thuận, Việt Nam",PHAN NGỌC HẢI,02593822560,2007-12-28,Cục Thuế Tỉnh Ninh Thuận,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,INT
412,4500280264-008 - BƯU ĐIỆN THÀNH PHỐ PHAN RANG - THÁP CHÀM,,,,,,,,,,,,,
413,4500605875 - CÔNG TY CỔ PHẦN ĐẦU TƯ VINACCO,,,,,,,,,,,,,
414,0102180545 - CÔNG TY TÀI CHÍNH TNHH NGÂN HÀNG VIỆT NAM THỊNH VƯỢNG SMBC,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN TS24.,0309478306 - CÔNG TY CỔ PHẦN TS24,TS24 CORPORATION,0309478306,"285/94B Cách Mạng Tháng Tám, Phường 12, Quận 10, Thành phố Hồ Chí Minh, Việt Nam","NGUYỄN PHAN VIỆT THỦY ( sinh năm 1974 - Thừa Thiên Huế) Ẩn thông tin
Ngoài ra NGUYỄN PHAN VIỆT THỦY còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN GIẢI PHÁP DU HỌC SCVN
CÔNG TY CỔ PHẦN TS24 (NTNN)",02838664188,2009-10-03,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Lập trình máy vi tính,TS24 CORP
415,0302391568 - CÔNG TY TNHH KIỀU HỐI ĐÔNG Á,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN TS24.,0309478306 - CÔNG TY CỔ PHẦN TS24,TS24 CORPORATION,0309478306,"285/94B Cách Mạng Tháng Tám, Phường 12, Quận 10, Thành phố Hồ Chí Minh, Việt Nam","NGUYỄN PHAN VIỆT THỦY ( sinh năm 1974 - Thừa Thiên Huế) Ẩn thông tin
Ngoài ra NGUYỄN PHAN VIỆT THỦY còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN GIẢI PHÁP DU HỌC SCVN
CÔNG TY CỔ PHẦN TS24 (NTNN)",02838664188,2009-10-03,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Lập trình máy vi tính,TS24 CORP
416,4500397061 - CÔNG TY TRÁCH NHIỆM HỮU HẠN HƯNG THÀNH,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH).,0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),VNPT VINAPHONE CORPORATION,0106869738,"Tòa nhà VNPT, số 57 phố Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","NGUYỄN TRƯỜNG GIANG
Ngoài ra NGUYỄN TRƯỜNG GIANG còn đại diện các doanh nghiệp:
TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG",84 - 2433992288,2015-06-11,Cục thuế Doanh nghiệp lớn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn thiết bị và linh kiện điện tử, viễn thông",VNPT - VINAPHONE
417,3500401333 - DOANH NGHIỆP TƯ NHÂN TIỆM VÀNG KIM HIỀN - THÔNG PHƯƠNG,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY TRÁCH NHIỆM HỮU HẠN IN VĂN HÓA.,3501381915 - CÔNG TY TRÁCH NHIỆM HỮU HẠN IN VĂN HÓA,,3501381915,"Số 360/19 Lê Hồng Phong, Phường 3, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",VŨ NGỌC BỐN,0643858703 - 0122998,2009-06-25,Chi cục Thuế khu vực Vũng Tàu - Côn Đảo,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),,IVH.
418,3500804935 - CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG OSC,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN MISA.,0101243150 - CÔNG TY CỔ PHẦN MISA,MISA JOINT STOCK COMPANY,0101243150,"Tầng 9, tòa nhà Technosoft, phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY
Ngoài ra LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY còn đại diện các doanh nghiệp:
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN MISA TẠI THÀNH PHỐ BUÔN MA THUỘT TỈNH ĐẮK LẮK
CÔNG TY CỔ PHẦN MISA
MISA - KIỂM THỬ HĐĐT KHÔNG MÃ
MISA - KIỂM THỬ HĐĐT CÓ MÃ",Bị ẩn theo yêu cầu người dùng,2002-04-22,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Lập trình máy vi tính,MISA JSC
419,3500100110-009 - BƯU ĐIỆN HUYỆN TÂN THÀNH,,,,,,,,,,,,,
420,3502206923 - BAN QUẢN LÝ RỪNG PHÒNG HỘ TỈNH BÀ RỊA-VŨNG TÀU,,,,,,,,,,,,,
421,3501294116 - CÔNG TY TRÁCH NHIỆM HỮU HẠN THƯƠNG MẠI QUANG THỊNH,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN MISA.,0101243150 - CÔNG TY CỔ PHẦN MISA,MISA JOINT STOCK COMPANY,0101243150,"Tầng 9, tòa nhà Technosoft, phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY
Ngoài ra LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY còn đại diện các doanh nghiệp:
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN MISA TẠI THÀNH PHỐ BUÔN MA THUỘT TỈNH ĐẮK LẮK
CÔNG TY CỔ PHẦN MISA
MISA - KIỂM THỬ HĐĐT KHÔNG MÃ
MISA - KIỂM THỬ HĐĐT CÓ MÃ",Bị ẩn theo yêu cầu người dùng,2002-04-22,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Lập trình máy vi tính,MISA JSC
422,3502367913 - CÔNG TY TNHH THƯƠNG MẠI LẮP ĐẶT PCCC TÂN LẬP,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ THƯƠNG MẠI SOFTDREAMS.,0105987432 - CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ VÀ THƯƠNG MẠI SOFTDREAMS,SOFTDREAMS TECHNOLOGY INVESTMENT AND TRADING JOINT STOCK COMPANY,0105987432,"Số 7, Ngách 97/1, Ngõ 97 Chính Kinh, Phường Nhân Chính, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam","VŨ VĂN LUẬT
Ngoài ra VŨ VĂN LUẬT còn đại diện các doanh nghiệp:
SOFTDREAMS - KIỂM THỬ HĐĐT CÓ MÃ
SOFTDREAMS - KIỂM THỬ HĐĐT KHÔNG MÃ",0914969009,2012-09-09,Chi cục Thuế Quận Thanh Xuân,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Xuất bản phần mềm,
423,4800806903 - CÔNG TY TNHH TƯ VẤN XÂY DỰNG TUẤN MẠNH,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH).,0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),VNPT VINAPHONE CORPORATION,0106869738,"Tòa nhà VNPT, số 57 phố Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","NGUYỄN TRƯỜNG GIANG
Ngoài ra NGUYỄN TRƯỜNG GIANG còn đại diện các doanh nghiệp:
TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG",84 - 2433992288,2015-06-11,Cục thuế Doanh nghiệp lớn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn thiết bị và linh kiện điện tử, viễn thông",VNPT - VINAPHONE
424,4800903223 - HỢP TÁC XÃ MÔI TRƯỜNG VÀ QUẢN LÝ CHỢ HUYỆN HÒA AN,,,,,,,,,,,,,
425,0100150619-018 - NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN VIỆT NAM - CHI NHÁNH CAO BẰNG,Doanh nghiệp đang sử dụng HOÁ ĐƠN TỰ IN.,,,,,,,,,,,,
426,4800153718 - CÔNG TY TNHH PHI HẢI,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN VIỆT LẬP CAO BẰNG.,4800104686 - CÔNG TY CỔ PHẦN IN VIỆT LẬP CAO BẰNG,,4800104686,"Tổ 1 Tân An, Phường Tân Giang, Thành phố Cao Bằng, Tỉnh Cao Bằng, Việt Nam",NÔNG MINH HOẠT,0206 3 852303,2007-01-17,Cục Thuế Tỉnh Cao Bằng,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,
427,4800229188 - LIÊN ĐOÀN LAO ĐỘNG BẢO LÂM,,,,,,,,,,,,,
428,4800117727 - HTX CƠ KHÍ CAO CẤP GIANG NAM,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN MISA.,0101243150 - CÔNG TY CỔ PHẦN MISA,MISA JOINT STOCK COMPANY,0101243150,"Tầng 9, tòa nhà Technosoft, phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY
Ngoài ra LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY còn đại diện các doanh nghiệp:
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN MISA TẠI THÀNH PHỐ BUÔN MA THUỘT TỈNH ĐẮK LẮK
CÔNG TY CỔ PHẦN MISA
MISA - KIỂM THỬ HĐĐT KHÔNG MÃ
MISA - KIỂM THỬ HĐĐT CÓ MÃ",Bị ẩn theo yêu cầu người dùng,2002-04-22,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Lập trình máy vi tính,MISA JSC
429,4800117068 - CÔNG TY TRÁCH NHIỆM HỮU HẠN HAI THÀNH VIÊN XÂY DỰNG XUÂN CHUNG,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH).,0106869738 - TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG (Loại hình: Công ty TNHH),VNPT VINAPHONE CORPORATION,0106869738,"Tòa nhà VNPT, số 57 phố Huỳnh Thúc Kháng, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","NGUYỄN TRƯỜNG GIANG
Ngoài ra NGUYỄN TRƯỜNG GIANG còn đại diện các doanh nghiệp:
TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG",84 - 2433992288,2015-06-11,Cục thuế Doanh nghiệp lớn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn thiết bị và linh kiện điện tử, viễn thông",VNPT - VINAPHONE
430,4800103795 - CÔNG TY CỔ PHẦN XI MĂNG - XÂY DỰNG CÔNG TRÌNH CAO BẰNG,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN VIỆT LẬP CAO BẰNG.,4800104686 - CÔNG TY CỔ PHẦN IN VIỆT LẬP CAO BẰNG,,4800104686,"Tổ 1 Tân An, Phường Tân Giang, Thành phố Cao Bằng, Tỉnh Cao Bằng, Việt Nam",NÔNG MINH HOẠT,0206 3 852303,2007-01-17,Cục Thuế Tỉnh Cao Bằng,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,
431,4800118110 - CÔNG TY TNHH XÂY DỰNG MẠNH QUÂN,Doanh nghiệp sử dụng HOÁ ĐƠN ĐIỆN TỬ của CÔNG TY CỔ PHẦN MISA.,0101243150 - CÔNG TY CỔ PHẦN MISA,MISA JOINT STOCK COMPANY,0101243150,"Tầng 9, tòa nhà Technosoft, phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY
Ngoài ra LỮ THÀNH LONGLỮ HỒNG CHƯƠNGĐINH THỊ THÚY còn đại diện các doanh nghiệp:
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN MISA TẠI THÀNH PHỐ BUÔN MA THUỘT TỈNH ĐẮK LẮK
CÔNG TY CỔ PHẦN MISA
MISA - KIỂM THỬ HĐĐT KHÔNG MÃ
MISA - KIỂM THỬ HĐĐT CÓ MÃ",Bị ẩn theo yêu cầu người dùng,2002-04-22,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Lập trình máy vi tính,MISA JSC
432,4800641497 - DOANH NGHIỆP TƯ NHÂN CAO THÁI,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN VIỆT LẬP CAO BẰNG.,4800104686 - CÔNG TY CỔ PHẦN IN VIỆT LẬP CAO BẰNG,,4800104686,"Tổ 1 Tân An, Phường Tân Giang, Thành phố Cao Bằng, Tỉnh Cao Bằng, Việt Nam",NÔNG MINH HOẠT,0206 3 852303,2007-01-17,Cục Thuế Tỉnh Cao Bằng,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,
433,4800146319 - CÔNG TY CỔ PHẦN QUẢN LÝ ĐƯỜNG BỘ CAO BẰNG,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN VIỆT LẬP CAO BẰNG.,4800104686 - CÔNG TY CỔ PHẦN IN VIỆT LẬP CAO BẰNG,,4800104686,"Tổ 1 Tân An, Phường Tân Giang, Thành phố Cao Bằng, Tỉnh Cao Bằng, Việt Nam",NÔNG MINH HOẠT,0206 3 852303,2007-01-17,Cục Thuế Tỉnh Cao Bằng,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,
434,4800155948 - CÔNG TY TNHH XÂY DỰNG TÂY NAM,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN VIỆT LẬP CAO BẰNG.,4800104686 - CÔNG TY CỔ PHẦN IN VIỆT LẬP CAO BẰNG,,4800104686,"Tổ 1 Tân An, Phường Tân Giang, Thành phố Cao Bằng, Tỉnh Cao Bằng, Việt Nam",NÔNG MINH HOẠT,0206 3 852303,2007-01-17,Cục Thuế Tỉnh Cao Bằng,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,
435,4800173626 - CÔNG TY TNHH XÂY DỰNG VÀ THƯƠNG MẠI NGỌC XUÂN,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY CỔ PHẦN IN VIỆT LẬP CAO BẰNG.,4800104686 - CÔNG TY CỔ PHẦN IN VIỆT LẬP CAO BẰNG,,4800104686,"Tổ 1 Tân An, Phường Tân Giang, Thành phố Cao Bằng, Tỉnh Cao Bằng, Việt Nam",NÔNG MINH HOẠT,0206 3 852303,2007-01-17,Cục Thuế Tỉnh Cao Bằng,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),In ấn,
436,4800114821 - CÔNG TY TNHH THƯƠNG MẠI THÁI TRƯỜNG,Doanh nghiệp sử dụng HOÁ ĐƠN GIẤY của CÔNG TY TNHH XÂY DỰNG VÀ THƯƠNG MẠI NGỌC HƯNG.,0104489787 - CÔNG TY TNHH XÂY DỰNG VÀ THƯƠNG MẠI NGỌC HƯNG,NGOC HUNG TRADING AND CONSTRUCTION COMPANY LIMITED,0104489787,"P304, tập thể Bộ văn hoá thông tin, ngõ 63, phố Lạc Trung, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam",Nguyễn Ngọc Sơn,0436362151 042212,2010-02-02,Chi cục Thuế Quận Hai Bà Trưng,,,,"HUNGTRACO., LTD"
