STT,Tên HO,Ngành nghề,Địa chỉ HO,MST,TTP,MCK,url
734,TỔNG CÔNG TY XÂY DỰNG SỐ 1 - CTCP,,"Tầng 9, Tòa nhà Sailing Tower, 111A Pasteur - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh",0301429113,TP Hồ Chí Minh,CC1,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=CC1
735,TẬP ĐOÀN CÔNG NGHIỆP CAO SU VIỆT NAM - CTCP,,236 Nam Kỳ Khởi Nghĩa - Phường 06 - Quận 3 - TP. Hồ Chí Minh,0301266564,TP Hồ Chí Minh,GVR,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=GVR
742,CÔNG TY CP ỐNG THÉP VIỆT - ĐỨC VG PIPE,,KCN Bình Xuyên - Xã Đạo Đức - Huyện Bình Xuyên - Tỉnh Vĩnh Phúc,2500267703,Vĩnh Phúc,VGS,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=VGS
749,Công ty cổ phần xi măng Bỉm Sơn,,Lô 17 Đường Đông A - Hòa Vượng - Lộc Hòa - T.p Nam Định,2800232620,Nam Định,BCC,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=BCC
760,CONG TY CO PHAN KIM KHI THANG LONG,,"Phố Sài Đồng , Phường Sài Đồng, Quận Long Biên, Hà Nội",0100100618,Hà Nội,KTL,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=KTL
761,CONG TY TU VAN DAU TU VA DICH VU KY THUAT CONG NGHIEP,,"Số 7a Phố Mạc Thị Bưởi, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Thành Phố Hà Nội",0100101379,Hà Nội,MIE,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=MIE
763,CONG TY CO PHAN TAP DOAN HIPT,,"152 Thuỵ Khuê, Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",0100364579,Hà Nội,HIG,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=HIG
770,Công Ty Cổ Phần Chứng Khoán Đà Nẵng,,"Tầng 2 Tòa Nhà Thành Công - Số 80, Dịch Vọng Hậu, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",0400554813,Hà Nội,DSC,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DSC
784,Công Ty Cổ Phần Nước Sạch Quảng Ninh,,"449 đường Nguyễn Văn Cừ, Phường Hồng Hải, Thành phố Hạ Long, Tỉnh Quảng Ninh",5700100104,Quảng Ninh,NQN,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=NQN
787,Công ty cổ phần Bia Sài Gòn-Miền Trung,,Số 01 đường Nguyễn Văn Linh - Phường Tân An - TP.Buôn Ma Thuột - Đắk Lắk.,4100739909,Đắk Lắk,SMB,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=SMB
788,Công ty cổ phần Cấp nước Đắk Lắk,,Số 339 Tôn Đức Thắng - Phường Tân An - TP.Buôn Ma Thuột - Đắk Lắk.,6000175995,Đắk Lắk,DWC,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DWC
791,Công ty cổ phần Du lịch Đắk Lắk,,03 đường Phan Chu Trinh - Phường Thống Nhất - TP.Buôn Ma Thuột - Đắk Lắk.,6000177738,Đắk Lắk,DLD,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DLD
796,Công ty cổ Dược- Vật tư y tế Đắk Lắk,,Số 9 A đường Hùng Vương - Phường Tự An - TP.Buôn Ma Thuột - Đắk Lắk.,6000449389,Đắk Lắk,DBM,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DBM
803,Công Ty CP Dược Hậu Giang,,"288 Bis, Nguyễn Văn Cừ - Phường An Hòa - Quận Ninh Kiều - Cần Thơ",1800156801,Cần Thơ,DHG,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=DHG
804,CÔNG TY CỔ PHẦN CẤP THOÁT NƯỚC CẦN THƠ,,"2A, Nguyễn Trãi, Phường Tân An, Quận Ninh Kiều, Thành phố Cần Thơ",1800155244,Cần Thơ,CTW,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=CTW
809,CÔNG TY CP DƯỢC PHẨM IMEXPHARM ,,"Số 4, Đường 30/4 - Phường 1 - TP. Cao Lãnh - Tỉnh Đồng Tháp ",1400384433,Đồng Tháp,IMP,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=IMP
818,Công Ty Cổ Phần Cấp Nước Bạc Liêu ,,"92, Đường Lê Duẩn, Phường 1, TP
Bạc Liêu, Bạc Liêu ",1900605680,Bạc Liêu,BLW,https://s.cafef.vn/Ajax/CongTy/CongTyCon.aspx?sym=BLW
